Asker,Responder,Question,Answer,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
Joe Hovorka,Tim Delmore,"Okay. Sorry, I didn’t hear the down 4% to down 6%. And then your guidance about operating expenses being flat as a percentage of sales. And I think you mentioned that was your guidance for last year as well and obviously, you did much better than that. Is there a reason why we wouldn’t see leverage on that line item with growing top line? Is there something in there that will make G&A and R&D, for example, go up in line with sales, or is that just being a conservative kind of way to look at it?","Well Joe, we lose a $2 million good guy for the Canadian hedge most likely and we are investing in our R&D and sales and marketing efforts to drive new products and retail sales, so.",,,,,,
Joe Hovorka,Tim Delmore,"Right. And the R&D number, do you have an estimate of what that should be for 2013?","Not a specific one for this call, no.",,,,,,
Joe Hovorka,Claude Jordan,"Right. And the R&D number, do you have an estimate of what that should be for 2013?","Hey, Joe, we’ve commented on this before, but as we’ve moved away from Suzuki, although we’ll be buying their engines through December 2013, we are doing all the R&D in-house now on the Snowmobile side for the engines.So that’s required a lot of upfront investment on our part, especially on the R&D side.",,,,,,
Joe Hovorka,Claude Jordan,Right. And you’ve been doing some of that through 2012 though right?,That’s correct. Yeah.,,,,,,
Joe Hovorka,Claude Jordan,"Yeah, okay. Okay. And then lastly, I think you had a comment about the inventory in the balance sheet, that that is reflective of an earlier build for Snowmobile. Did I hear that correctly?","Yeah, I think I would point to three things. First of all, the overall growth of the business in the fourth quarter, we were up 34% across the board. So that would be the one thing.
Second thing would be last year; we were building snowmobiles well into December, which is something we do not like to do. So we have moved the production date a little bit earlier there. That’s required us to go ahead and start getting some of the longer lead items such as engines in-house and last year, they would not have been on our March closing balance sheet. This year they are.
And then the third thing I would say is with our new monthly ordering system, the RPN system on the ATVs, instead of shipping a lot of products in June, because typically we’d stop in that March timeframe and ship a little bit in April and May, and then really ramp up in June, you’re seeing more of a smoother shipment pattern, so we never really slow down on the ATV and the side-by-side part of our business.",,,,,,
Rommel Dionisio,Claude Jordan,"Ah, yeah. Good afternoon. On the ATV business, with sales expected to be up well over 25% next year, are you guys bumping up against capacity constraints any time soon, just given the strong growth in that business?","Not really. When you look at where we used to be as a business and where the industry used to be, we could probably go ahead and go two to 2.5 times the volume we have today, so we have not hit any kind of capacity constraints and whether that’s in Wildcat, the Prowlers or ATVs.",,,,,,
Rommel Dionisio,Claude Jordan,"Okay. Just to clarify, you’re not bumping up against any capacity constraint for Wildcat either in the (inaudible)?",That’s correct.,,,,,,
Mark Smith,Tim Delmore,"Hi, guys. Just looking at the PG&A margins here in Q4, not quite as good as we’ve seen in the past, but just a shift in products maybe without people riding snowmobiles, accessories or garments are lower. Anything you can speak to on that and then what we should kind of look for in margins on PG&A going forward?","Yeah. Mark, this is Tim. In Q4, we had less of the snow- related high-margin products shipped, obviously, with the lower snowfall. That impacted us as well as perhaps a bit higher freight cost impacting us, although I don’t think – going forward, I think if you use history as your guide for margins, I think, in your model you’ll be fine.",,,,,,
Mark Smith,Claude Jordan,"Okay, great. And then second, just looking at ATV dealer numbers. Can you talk about any delta that we’ve seen in North America, with the addition of Wildcat?","Yeah. We don’t really break out the specific numbers. I will say that, forget about Wildcat for a second, we added a net dealers last year and by net, you’ll always lose some dealers throughout the year. And you’re always gaining. We actually added a significant number this year of dealers for both ATV and Prowler. Now some of those may have been connected, because they wanted to go ahead and carry the Wildcat line as well.
The Wildcat, obviously a lot of our dealers picked up the Wildcat. I don’t believe we had any Wildcat-only type dealers. So if you had a dealer in an area that carried ATVs and Prowlers but didn’t want the Wildcat, whether somebody else has stepped up. So, for the most part, we hired a dealer development manager about a year ago. That person has been very successful in terms of working with our sales team in terms adding additional dealers throughout the year.",,,,,,
Mark Smith,Claude Jordan,Okay. And would we see similar trends if we look international on net dealers or distribution opportunities internationally?,"You’re certainly going to see it from a distributor side. Most of our sales, other than on the ATV side, we do go direct in Spain, Italy, France, Germany, U.K. and Austria, but everywhere else we go through a distributor and we have been adding distributors throughout, outside of North America.",,,,,,
Joe Hovorka,Tim Delmore,"Thanks. Just a couple of follow-ups. In 2011, you gave us an ATV shipment number and an ATV sell-through number. And, if I recall, there was a several thousand unit gap between the two. Did that persist through 2012 and can you give us those numbers?","It did persist in 2012, not to the same degree. But I did say that inventory was down 22% for ATV, Wildcat and Prowler. I said it was down 26% for just ATV and Prowlers. So, obviously, with the inventory being down, we shipped a lot less units than we retailed.",,,,,,
Joe Hovorka,Tim Delmore,"Okay. But you don’t have those numbers?
",No,,,,,,
Joe Hovorka,Claude Jordan,"Okay. And I think at your snowmobile dealer meeting, you had mentioned upcoming Wildcat models. Has there been any further information about that, timing, which model?",We’ve not – what we mentioned was we certainly were excited about the Wildcat and that we were looking at some additional price points over the next 12 months.,,,,,,
Stephen Roseman,Tim Delmore,"Okay, great. Maybe you can provide some clarification from your third quarter Q. There’s a pretty meaningful discrepancy in the difference between units shipped versus dollar volume shipped in the Snowmobile category.","Don’t have that in front of me, but Q3 was a huge shift in our product mix to the higher end. The prior year, as I recall, we had a lot more international in the Q3. And Q3 this year, we had a lot of our new models, which were at the higher end of the spectrum.",,,,,,
Stephen Roseman,Tim Delmore,"So, historically, you guys have tracked pretty closely, within a few percentage points, in units versus dollars. And this year, the spread was pretty dramatic, to the tune of something like the order – I don’t think it’ll come to me right now, but something in the order of 40-percentage point.",It was no surprise to us that there was that spread. That’s just how our product mix shook out.,,,,,,
Stephen Roseman,Tim Delmore,"Do you think it’s possible you could provide some color as to where that is? Because when I look at historical Q3 shipments and the difference between two, literally we’ve never seen that type of difference. I’m trying to have a better understanding of what the product mix difference would have been to get to that order of magnitude difference in units versus dollar sales.","Just one thing, if you’d look at our – I don’t have the pricing in front of me, but there were a higher number of four strokes in our mix, for example...Turbos, a lot higher price points and that would be driving that.",,,,,,
Stephen Roseman,Tim Delmore,"So, we’ll get it here sorry, open it up, so in 2011, units up 24% versus the dollar sales up 61%, just in the Snowmobile category. Versus, for example, in 2010, it was up 33% and 33%; 2009 down 31%, down 35%. Again tracking pretty close. I understand there is a difference in the shipped, but it just struck us as worth asking about certainly when we got together with you, guys.","Very good question, but again, no surprise to us with the – we see the mix every day and every year and no surprise to us.",,,,,,
Stephen Roseman,Tim Delmore,Do you think there’s a point where you guys could provide some breakout as to how that mix manifests itself?,"We could consider that, yes.",,,,,,
