asker,responder,question,answer,,,
Unknown Analyst,Stephen M. Kelsey,"And is the data for -- a mean of the telomere length, I imagine among -- from tumors there's too much variability...",It's essentially is an average of the length of all of the telomeres in all of the tumor cells that appear in the section that we're provided with.,,,
Unknown Analyst,Stephen M. Kelsey,Okay. And you said that the data will be presented sometime next year?,"Well, we haven't actually -- to be honest, haven't actually decided when, we're going to choose which meeting we're going to target, but it'll almost certainly be sometime next year.",,,
Unknown Analyst,Stephen M. Kelsey,"Yes, I think that will be a very important piece of information. Next question regarding the 1005. You're looking at obviously, brain mets. What about moving -- now that the lung cancer trial might be a little bit in question depending on how the outcome of the meeting coming up that you mentioned in a week or 2. In that meeting will you also consider, or in other meetings consider moving into other brain indications, glioma for example?","Yes, we've had a number of ongoing discussions about moving the 1005 program into primary brain tumors. As you know, that one of the Phase I studies with 1005 was performed in primary brain tumors. I think we've previously disclosed that we've had an ongoing dialogue with a number of people regarding the -- moving that program into primary brain tumors. But the focus of our attention and the priority for internally within Geron has hitherto been the brain metastases program",,,
Unknown Analyst,John A. Scarlett,"
And in that regard of moving into other indications, I imagine, Chip, this is going to be part of discussion when you review the strategic review of all the programs. I mean if you're talking about a strategic review, like I said of all the programs, you could -- what the spectrum of outcome could be keeping everything going as it is versus changing everything that's going on. Can you talk a little bit more about what the criteria might be for the strategic review? I know you probably won't be able to say very much more about it.
","Sure, I mean, it's exactly what you would expect. We're looking at the opportunities from a -- ultimately a commercial perspective in where the greatest opportunities lie, what the cost of development is and what the cost to get to key investable milestones are. And then arraying that against our cost basis, our existing cost basis and our cost basis going forward. And the idea is to maximize our opportunity while minimizing our spend. And that's a well-trod path in our business, it's one that most companies go through at some point in their -- as their plans get informed by results and various opportunities. And so that's exactly what we're doing. And as soon as we have clarity around that, especially in light of the results that we announced on the solid tumor studies, we will come back everybody and let you know exactly how we see the direction changing if at all and what we anticipate investing in and what we would hope the appropriate, not only the appropriate outcomes but sort of the timing for those outcomes and the timing of the spend.",,,
Unknown Analyst,John A. Scarlett,"I would imagine [indiscernible] assets that might be available for in-licensing is on the table as well, right?","Well, everything's on the table, but I think at the moment we still see, in general, we see that we have a lot of opportunities with our existing assets that we've already invested substantially in. We have a lot of insight and knowledge and we have an established set of programs. So I think it's -- the first order of priority is to prioritize what we have and to make certain that we can get there with the existing cash.",,,
Unknown Shareholder,John A. Scarlett,"I'm going to approach my remarks with kind of a disclaimer, and that is that I'm just a civilian investor and been an investor ever since you were $6 a share basically about 4 years ago and thus far I have accumulated 10,000 shares, which candidly, I'm holding for my grandson's educational trust. But there's a number of issues, again, as a layperson that I don't understand, and I wish that it could be clarified in lay terms, the website or what have you, and that is that your recent, I guess, joint venture, whatever you want to call it, about a couple of weeks ago, I think with a Texas operation, am I making myself clear on this?","Yes, go ahead. I think with ViaGen, yes.",,,
Unknown Shareholder,John A. Scarlett,"Yes, right. What is that, why is that, what do you hope to achieve and accomplish, et cetera. Because I went to their website and I gather that they're, if I may, looking to promote the company in terms of shareholders or whatever, again, I feel awkward here but I really would like to know straight answers as to what's going on and why it's going on and what the end result is hoped to be?","Yes, so I think what you're referring to is ViaGen. And we made no announcements regarding ViaGen, but you will see an update in the 10-Q that we'll be filing shortly. So I would, without making further comment about what's going on at ViaGen, just direct you to that filing , which will be in the next few days.",,,
Unknown Shareholder,John A. Scarlett,"Well, again, that goes back to my original point. When you're talking 10-Q, you're talking as per SEC regulations, et cetera, and, if I may, isn't there some way, shape or form that this could be boiled down to simple layman's terms?","Yes, I appreciate your point of view. This is something that is particular to being a public company. And we have to provide disclosure on the same basis to everybody at the same time. We haven't given any more disclosure on the ViaGen situation and sorry we can't go into any further detail here. But you will see some further discussion of it in the 10-Q, and the 10-Q will be available at sec.gov.",,,
Unknown Shareholder,Anna Krassowska,"And in reference to providing information, again, my shares are held through Chase, and I guess their holding company or what have you, how can I personally, and Anna knows my email address, how can I personally get on the hit list? I mean, whenever they went upside down, about a month ago or so, in terms of discontinuing the study, it was noted that the shareholders had been advised, or a letter to shareholders or whichever. I didn't receive anything, and I don't know what the process is. Perhaps I should talk to Chase and my broker or -- but isn't there, again, a simple way for me and individual investors to get time-sensitive information when it's announced?","This is Anna. Yes, we can add your email address to our email distribution list and you'll receive press releases in real time. When it comes to our quarterly reports that are filed with the SEC, you can sign up for an alert on our website and then you'll get an email immediately as soon as our SEC filings are filed and then you'll know everything in real time. So after offline, send me an email and I'll make sure your email address is added to our list and give you instructions on how to sign up for these other alerts.",,,
Unknown Shareholder,John A. Scarlett,"Well, you've sent me an email previously, Anna, and you sent me, a couple of sessions ago, and you sent me an annual report and I -- when this -- I called you and left a message in reference to this, what we were just discussing, is this -- whatever is going on with this Texas operation, there was no acknowledgment. And I really would appreciate it if you or a member of your staff could correspond with me on that, and any other investor who's seeking information as a shareholder.","Of course, we'll be certain to do that. Thank you very much.",,,
Unknown Shareholder,John A. Scarlett,"I don't -- I'm going to ask a question which, again, as a layperson, as a shareholder, I got to ask. What is your relationship with Seeking Alpha?",We have no relationship whatsoever with Seeking Alpha.,,,
Unknown Shareholder,John A. Scarlett,So you're not a pay-to-play kind of an operation or whatever?,"Not at all. They're -- as far as I understand it, they're -- individuals submit articles. We have absolutely nothing to do with any of them. We find out about them exactly at the same time that you do or anyone else. So it's a completely independent function, which we have nothing to do with.",,,
Unknown Shareholder,John A. Scarlett,"And is there ever any hope of having an open annual shareholders meeting, in person?","We are considering how to best address the questions that individual, as you put it civilian investors have. That's under some discussion, and I hope to have some things to talk about, at some point in the future. But yes, the answer is that is being -- there are a variety of different initiatives under way to help address some of the questions and types of comments that you've had today.",,,
Unknown Shareholder,John A. Scarlett,"I really appreciate this opportunity. I don't mean to be critical, I don't mean to be negative but again, for the last week, you're dealing with a penny stock as such and I think there's a lot of us out there who really would like to see you succeed and have these questions as laypeople.",Understood. We're keenly aware of that. So thank you very much. And thank you for your comments today.,,,
