asker,responder,question,answer,,,
Stacy Rasgon,Devinder Kumar,"Hi, guys. Thanks for taking my question. I had, first, a question on gross margin, especially in Q1. You said consoles are negligible.
Gross margins are 46%, so that suggests that that 46% is basically indicative of the business as it stands without consoles. So, does that represent kind of the peak of the business on the current mix? I'm a little surprised it's not higher, given all the new products in aggregate, we're supposed to have gross margins in excess of 50%, and most of the mix today should be new products? So, I guess, how do we think about the Q1 gross margins in the context of that? And what are the drivers that take it higher from here? Is it basically just server mix, or is there something else that can help with that? Thank you.
","Let me get started, and Lisa can add. But, you know, Stacy, as we talked about product transitions, the 46% guide in Q1, we recently introduced the next-generation notebook products. And as product transitions go, you still have legacy product that you sell before you get, you know, converted over to the new technology and the new generation products. The desktop products were ahead of that from that standpoint, and that did benefit our margin in the 2019-timeframe.
And you are right, the console being negligible revenue in Q1 of 2020, it does benefit, and then the margin is 46%. And from an overall standpoint for the year, it is 45%, and that's because the semi-custom business, which is lower than corporate average, does come back. And as Lisa said earlier, we're expecting 80% of that in the back-half of the year. But by that time, also, the new-generation products and the other businesses, including data center and client reramping all on seven nanometer, and that should help the gross margin to offset some of the impact that we have on the semi-custom business.
",,,
Stacy Rasgon,Lisa Su,"Hi, guys. Thanks for taking my question. I had, first, a question on gross margin, especially in Q1. You said consoles are negligible.
Gross margins are 46%, so that suggests that that 46% is basically indicative of the business as it stands without consoles. So, does that represent kind of the peak of the business on the current mix? I'm a little surprised it's not higher, given all the new products in aggregate, we're supposed to have gross margins in excess of 50%, and most of the mix today should be new products? So, I guess, how do we think about the Q1 gross margins in the context of that? And what are the drivers that take it higher from here? Is it basically just server mix, or is there something else that can help with that? Thank you.
","No, that's OK, Stacy. I was just going to add to what Devinder said. So, we don't expect the client notebook mix to fully cut over to the new seven-nanometer products until later in the year. And in terms of, you know, opportunities to improve margins, it is definitely product mix.
So higher mix of server, as well as higher mix of, let's call it, Ryzen 7s and Ryzen 5s versus some of the legacy products.
",,,
Stacy Rasgon,Lisa Su,"Got it. Thank you. For my follow-up, if I sort of squint at the second half, it seems to me you're probably guiding it implicitly, call it, 800 million to $1 billion over the second half of 2019. How much of that do you think is consoles versus non-consoles, because it's not hard to get a console number, especially in the beginning of a ramp that's not that far off that number, which doesn't leave all that much room to ramp the rest of the business.
So, is this just conservatism, or what else are you expecting here? How much of that second half do you think is consoles versus non-consoles?
","Well, I think, as I perhaps answered to one of the earlier questions, when I look at the full year at 28 to 30%, you know, sort of revenue growth, expect server to be significantly above that, and then, the rest of the businesses are all going to grow nicely. And so, you would expect significant double-digit growth in the client business, as well as, you know, in the semi-custom business, and overall, we see the aggregate of it to be a very strong year. So, it is not all console-weighted, if that's what you're asking.
",,,
Stacy Rasgon,Lisa Su,"OK. Wouldn't you get that just from the nature of the ramp that we saw in 2019, we'll be doing the compare already? I guess that's why I'm trying to sort of normalize second half to second half? I think we get strong double digits in second half versus second half growth across all the businesses?","I would say, in aggregate, you will see. So let me help you this way. So, what we said in 2019 is, 2019, overall, we grew 4%. On an annual basis, but, excluding semi-custom, we grew over 20% through all the rest of the businesses.
If I do that same type of calculation, excluding semi-custom for 2020, we would still say the rest of the businesses would grow greater than 20%.
",,,
David Wong,Devinder Kumar,"Thanks very much. Devinder, you said the sequential decrease in the March 2020 quarter is driven primarily by the drop-in game console chips. Does that mean that you expect your microprocessor and graphics revenues will be flattish sequentially? Or if not, roughly, what does your guidance assume in terms of percentage sequential drop for, say, PC processors and GPUs? Do you get server processors sales rising sequentially?","No, I don't think I said specifically that Q4 to Q1 is all due to semi-custom. That obviously helped the margin, but there is a product mix underneath that helps, especially with the notebook products, that we talked about, that are moving to seven nanometers. And then, I think your second question's about sequential from Q1 outwards, is that right, David?",,,
David Wong,Devinder Kumar,"No, no. I was talking about revenues from December into Q1, the sequential drop. Can you give us some idea of -- I mean, there's a big chunk that's game consoles, right? But what about the non-gam console part of it?","It is seasonality. Seasonality in the business. We have the consumer weight from a revenue standpoint in our CG segment. And we go from Q4 to Q1, you do have the seasonality coming into play, and typical seasonality is what driving the other portion of the decline in revenue from Q4 to Q1.",,,
David Wong,Lisa Su,"No, no. I was talking about revenues from December into Q1, the sequential drop. Can you give us some idea of -- I mean, there's a big chunk that's game consoles, right? But what about the non-gam console part of it?","Yeah, David. I think what you're asking is, you know, we would expect that the computing and graphics segment would be down sequentially due to seasonality, and we would expect that server CPUs should be up, because, you know, we're continuing to ramp those processors sequentially.",,,
David Wong,Lisa Su,"OK, great. And can you give us some idea of what new GPUs you're expecting to launch through the rest of 2020 for PCs and for data center?","Yeah. So in 2019, we launched our new architecture in GPUs. It's the RDNA architecture, and that was the navy-based products. You should expect that those will be refreshed in 2020, and we'll have a next-generation RDNA architecture that will be part of our 2020 line up.
So, we're, you know, pretty excited about that, and we'll talk more about that at our financial analyst day. And on the data center GPU side, you should also expect that we'll have some new products in the second half of this year.
",,,
Joe Moore,Devinder Kumar,"Great. Thank you. Devinder, you had talked about consumer graphics as being below corporate gross margin. I guess, I was thinking that -- I know you've historically had a high cost structure because of high bandwidth memory, but as the product portfolio increasingly doesn't use high bandwidth memory, is there the prospect to improve that for consumer GPU to be closer to where your competitor's gross margins are?
",I don't think I specifically said that. I said some of our graphics products are below corporate average from a gross margin standpoint in addition to the semi-custom being below average.,,,
Joe Moore,Lisa Su ,"Great. Thank you. Devinder, you had talked about consumer graphics as being below corporate gross margin. I guess, I was thinking that -- I know you've historically had a high cost structure because of high bandwidth memory, but as the product portfolio increasingly doesn't use high bandwidth memory, is there the prospect to improve that for consumer GPU to be closer to where your competitor's gross margins are?
","And I think, Joe, maybe just to answer your question in terms of what we expect in consumer graphics. I think -- look, we're investing in consumer graphics. We think gaming is a very important segment, whether we're talking about consoles or discrete graphics. And the work that we're doing around the RDNA architecture and the future generations of our DNA architecture, we believe, will continue to improve our offerings for both consumer graphics, as well as data center graphics.",,,
Joe Moore,Lisa Su,"OK, great. Thank you. And then with the new console builds, you mentioned that that starts in Q2, but it's mostly in the back half of the year. I guess, as you think about that opportunity from a unit standpoint, is it the right way to look at it, you know, sort of a similar number of units to what we had in the first year of the current console cycle? Or is there, you know, does the compatibility that you bring when you have an 886 CPU still, and there's probably a little bit more similarity between the consoles, could that point us to a sort of a better console unit market in 2020 than we saw six years ago? Like, how are you thinking about it, just the size of opportunity?","Yeah. So, we do think there's some pent-up demand for the next-generation of consoles, you know, without forecasting what our customers are planning, I would say they're both-- we're planning for a strong first year, and we'll have to see how things develop as we go through the ramp. But the overall sentiment is that, you know, there has been, let's call it, a lull in console sales in the second half of 2019 going into in 2020, sort of, you know, for some of this anticipation of the next generation.",,,
Blayne Curtis,Lisa Su,"Thanks for taking my question. Maybe just following up on Joe. I just want to make sure I heard you right. I thought you said the semi-custom as well, we grow double digit, I just want to confirm that? And then just following on, I don't know if the units are going to be, but is there a content or ASP story to layer on top of that equation as well?","Yeah. So I did say that semi-custom should grow double-digit as well. And again, it's a strong year for us. And then as it relates to content, again, it's fair to say that there is additional content in this generation versus previous generation.",,,
Blayne Curtis,Lisa Su,"Gotcha.. And then maybe just on the gross margin equation. Is there a way to talk about the mix of seven nanometer, that's a big tailwind still seems early days, at least across a couple of your products. Is there a way to kind of think about the whole company and what the mix of seven is?","Yeah. So, we just completed the fourth quarter, and it was a very strong quarter for us, record revenue for the company. And I would say about half of that revenue was seven nanometer-based, and the other half, not yet. And so, there is still a significant ramp as we go into 2020, but we're pleased with how quickly we ramped, you know, in 2019.",,,
John Pitzer,Lisa Su,"Yeah. Good afternoon, guys. Congratulations on the solid results. I just want to go back to the gross margin bridge from Q1 to the full year.
I just want to make sure I understand. The drop from Q1 to the full year, is that 100% being driven just by gaming coming back more aggressively in the back half of the year, or have you baked in anything for either pricing competition from the No. 1 guy out there or some share shifts? How do I think about that? Is it all about gaming?
","All right. So, I think if you look at it, the predominant factor, if you're talking about, you know, Q1 guide of 46, versus full year at 45, it's just as we wrap those consoles, there's, you know, there's some impact of that. As it relates to the pricing environment and what we're expecting, you know, we're expecting a competitive pricing environment, and that's the way we built our model. So, we've always expected that the competition will be very aggressive on both the CPU, as well as the GPU side, and you know, that is, you know, part of the inherent model for the company.",,,
John Pitzer,Lisa Su,"That's helpful, Lisa. And then you guys have a ton of goodness on your immediate plate on the server side and the data center side, just with the workloads you're going after. But I'm kind of curious, you answered an earlier question saying you expect more GPUs for the data center. And I don't want you to pre-announce product, but then how should I think about your positioning for AIs and workload and acceleration? And just given some of the heavy lifting that NVIDIA had to do around CUDA, how do I think about the investment there? Is this an area that you think you have some unique IP you can bring to, or how do I think about that over the next couple of years?","Yeah. So, I think that's actually a good way of talking about the opportunity, John. I think the CPU opportunity is very immediate and in front of us as we look at the opportunities with Rome and the expanding opportunities. I think the data center, you know, GPU market continues to be an important growth sector for us, and now, I call that over the several year horizon.
So, when you look at the opportunities that we have, when we combine our CPU and GPU IP together, they're very, very strong. I mean, for example, this is the reason that we won the Oak Ridge National Lab Supercomputer with Frontier, which are actually both the CPU and GPU win, and some of the optimization that we've done with that overall system. We think that there are additional opportunities like that, as well as machine learning and AI opportunities. Our focus there has been to work with large cloud providers, to optimize the machine learning frameworks.
And we had some key milestones that we completed in the fourth quarter that will continue to be a focus for us in 2020 and beyond.
",,,
John Pitzer,Lisa Su,Is it fair to say some of the GPU data center announcements this year go beyond just the cloud gaming market?,"Yeah. I think you should expect that we will have, you know, additional, you know, sort of customer announcements outside of cloud gaming.",,,
Timothy Arcuri,Devinder Kumar,"Thanks a lot. I guess I had another question, just [Audio gap] gross margin [Audio gap] of the year's revenue in semi-custom would be in the back half. But how does that break out between September and December? I guess, I asked that because I'm just, you know, trying to see what the gross margin will be exiting this year if you strip out semi-custom. Could it be 50% exiting the year? Thanks.","I think, you know, it's hard to break it down that way. We are in the initial stages of planning for the ramp, and you're asking about Q3, Q4. We are projecting about 80% of the semi-custom revenue, growing double digits year over year in Q3 and Q4. And typically, when we have this new game launches, our peak quarter from a revenue standpoint in semi-custom will be Q3.
But Q4, when you talk about the ramp of the product, especially in the first year of the ramp, it's hard to project how much it will be and then what the impact would be exiting 2020 from a gross margin, excluding semi-custom. Maybe as we get closer to that and talking about three to six months, we can probably give you a better idea of that.
",,,
Timothy Arcuri,Lisa Su,"I got it. OK, thank you. And then, can you just talk about what your share targets are for the year in PC, I think you're 17, 18 in notebook, and you're maybe 14 in desktop. Can you just talk about how much share you think that you can gain this year given all the moving parts with the shortages and what not?","Yeah. So, I'm not sure I'm going to forecast a share target for 2020. I will say, though, if you take a look back at the last eight quarters, we've been on a fairly steady share gain in PCs, somewhere between, you know, depending on the quarter, let's call it, 50 to 100 basis points per quarter, and that changes between desktop and notebook. I think we grew somewhere on the order of four points a share.
So, we believe that we still have additional opportunities, and particularly, our focus is going to be both notebook, as well as commercial. And those are good opportunities for us and play well to our new Ryzen, you know, 4000 mobile processors.
",,,
Mitch Steves,Lisa Su,"Hey, guys. Most of my questions been answered, and it kind of lines up with the model we got here, but I just want to make sure I got a couple of quick questions. And so, basically, for Q4, it looks like semi-customer is probably down 50% sequentially, or somewhere around that range. Is that -- am I leasing the ballpark? And then, secondly, from a server perspective, I'm not expecting you to give numbers on this, but maybe qualitatively, how much of your revenue is going to be cloud versus enterprise? And I think that's one of the bigger debates, and I don't expect specifics, but anything you could to help us understand what should be the mix between cloud and enterprise for calendar '20?","Yeah, sure, Mitch. So, look, I think you're right. When you look at the semi-custom business in the fourth quarter, it was a bit softer than originally anticipated. So, we had originally said last quarter that we thought the second half of the year would be down high-30s, and we were actually down, you know, more than that for the second half of the year and for Q4.
And as it relates to mix of cloud versus enterprise for 2020. You know, I mean, it will move around from quarter to quarter, but I think the best guess at this point is, let's call it, roughly even between the two.
",,,
Srini Pajjuri ,Lisa Su,"Thank you for squeezing me in. Lisa, maybe on the supply side, you know, you're guiding for a pretty strong growth here. I'm just curious, have you already logged in the supply for seven-nanometer? And as we go into second half of the year, especially as you ramp the game consoles, I believe that those die sizes tend to be very large. I'm just curious if you were to get upside, how are you feeling about your supply situation? Thank you.","Yeah. So, TSMC has supported us very well through the first couple of quarters of our seven-nanometer ramp here in 2019. I think, as we go into 2020, there will certainly be a significant growth for us in seven nanometer. You know, our current visibility supports the revenue guide that we gave you.
It is fair to say that wafer supply is tight, and so, you know, it's really, you know, important for us to be planning well with our customers, and that's what we're working on.
",,,
