asker,responder,question,answer,,,
Brian White,James Flaws,"When we think about Gorilla Glass on the notebook, I just want to be clear, are most of these wins primarily coming at the screen level? Or are you also providing Gorilla Glass for the back casing and the keyboard?",That’s a level of detail I just don’t know. I’m sorry.,,,
Brian White,James Flaws,"And when we think about this ramp, you said obviously you have Dell, about how many other customers do you have? And is this more of a fourth quarter ramp? Or it really does start in earnest in the third quarter?","It starts in the third quarter, in earnest. I don’t have a list of the number of customers, but we think our market share on touch on notebooks has been climbing. Initially, our competition is really soda lime, for cost reasons. And we believe our market share on touch notebook wins is climbing every quarter. So we’re quite pleased by that. But we begin shipments in earnest this quarter. Again, as I mentioned in reply to an earlier questioner, what we’re just uncertain about is how well these notebooks will do at retail. Obviously pretty weak PC market. But definitely in terms of the models that will be out there, we’re increasing our market share.",,,
Brian White,James Flaws,"So if I have a $500 notebook, this is a $50-100 price for the consumer? One to two percent is the cost of the Gorilla Glass","No, 1-2% is like $5-10.",,,
Jim Suva,James Flaws,"It sounds like you’re indeed building in a no return of the China subsidy into your outlook, which I think is a positive. Under the premise of if the China subsidy were to come back, do you have the capacity to ramp production? And if so, what’s a typical lead time for you to pour the glass, get it into the channel, and for it to make it onto the shelves for selling to the local Chinese citizen, if the subsidy were to return?","We do have capacity, and the lead time is relatively short, as we are in Asia, and it’s pretty easy for do that. So I would say definitely two months or less we can have capacity there.",,,
Amitabh Passi,James Flaws,"I was wondering if you could comment on LCD demand trends in some of the other geographies, particularly Europe and North America.","North America has been good, driven by sizes, for the most part. Europe has been weak. Japan has fallen to a pretty low level. We think actually Japan television will probably be flat for the year now that we’ve anniversaried that. These are in terms of units. We’re seeing good growth in the other Asian markets in Latin America and the Middle East in terms of units.",,,
Amitabh Passi,James Flaws,"I’m curious relative to expectations, are these geographies generally in line? Weaker? Better?",I’d say Europe is weaker. Most of the rest are in line in terms of units. And then size is ahead of our expectations.,,,
Amitabh Passi,James Flaws,"And then just based on the stock buyback you did in the quarter, I would have expected a larger decrease in the share count. Should we expect some of that to show up in Q3, or were there some offsets?","Well, remember the stock buyback didn’t start until later in the quarter. We didn’t make the announcement until the end of at least one month had gone by.",,,
Amitabh Passi,James Flaws,And then just any help you can give us in terms of your appetite to sustain buyback for these levels of how you’re thinking about just capital allocation?,"Well, we have a $2 billion program authorized by the board, and we expect to continue to buy back in Q3 probably similar to slightly higher levels maybe.",,,
Amitabh Passi,James Flaws,"And fiber to the home, you talked about strength in North America. Just wondering where you’re seeing that. Is it with the tier ones, or some of the small operators? Any [insight into that] would be helpful.",That strength was mostly Canada.,,,
Joseph Wolf,James Flaws,"I wanted to come back to the inventory and the work that you’ve done on the global side, and the differences between China and the rest of the world, and where you are in terms of reading that, and how we can think about that going forward in terms of maybe even not talking about price declines moderating, but prices starting to stabilize and maybe improve.",I’m not sure I follow your question. Are you asking about inventory in the supply chain regionally?,,,
Joseph Wolf,James Flaws,"Regionally and how that fits into, I guess you talked about a very strong demand in China and Korea kind of being consistent. So if there’s a global element to that inventory, and whether that will impact any pricing in 2014.","As of right now, I don’t have a reason to believe that we won’t stay on this moderate price decline that we experienced for these quarters. There’s nothing that we’re seeing right now in terms of the level of inventory. I don’t have a lot of details, as I mentioned in response to an earlier question, about where the inventory is. I did mention that in China there seems to be an excess of small sized televisions, 32s, but beyond that I don’t have a lot of detail. I think the worry that you’re probably touching on is if there’s a sudden inventory correction, then that could impact on pricing. But right now we’re not feeling that. Our order rate in July and our order rate for August has remained quite strong.",,,
Simona Jankowski,James Flaws,"I just had a question on display, and then a couple of followups on Gorilla. On display, you had ended Q1 with what you considered tight internal inventories and were air shipping some product. Is that still going on? Or do you feel like you’ve caught up now in terms of your own inventories and production? And also, did you convert any additional tanks to Gorilla in the second quarter? Or are you putting that on hold for now given the situation in Gorilla you talked about?","We’re not converting more tanks to Gorilla right now, as the supply chain works off some of the inventory. In terms of our own inventories, we actually remain tight. We did air ship in Q2. We hope to not air ship in Q3, but we’re still tight. We wouldn’t mind having more display inventory. Corporately, on inventories, we have built inventory. The build is the largest in telecom, where we built over $100 million inventory. And we have built some Gorilla inventory.",,,
Simona Jankowski,James Flaws,"And then on Gorilla, where you talked about the perceived softness there in the guidance. You commented on thin glass. Is that impacting the revenue growth levels in Gorilla, in particular if that’s causing you to get a lower ASP per square area? And then I also wanted to get an update on your expectations for 3D glass, if that’s something that is going to ship this year, and is going to be a meaningful contributor. And then lastly, it seems that Asahi’s Dragontrail is gaining some traction in the market and is starting to get used as a second source. Is that impacting your Gorilla expectations?","I don’t think Dragontrail is really impacting our expectations. Clearly we don’t have quite as strong a share as what we had originally, but it’s still extraordinarily high. I don’t have an update on 3D, so I’m sorry, I’m not current on whether we’re going to ship anything this year or not. I know the program is continuing to move ahead.",,,
Simona Jankowski,James Flaws,And the thin glass in Gorilla?,"Thin glass in Gorilla, it’s primarily an impact on our cost.",,,
Simona Jankowski,James Flaws,"Okay, so it doesn’t change the ASP per square area?",ts primary impact is on our cost,,,
Ehud Gelblum,James Flaws,"Quickly start on telecom. You mentioned an affiliate that you brought in house. Can you just give us a sense as to what it was, how large it was, and how much that impacted the numbers? And then you also mentioned in telecom that there were some delays in China and some large fiber deals. Do you have any color on what caused those delays? Was it the change in management that happened in a couple of Chinese carriers? And how far out did this get pushed? And I have some questions on LCD and Gorilla.","The small company was a previous joint venture that our Corning Cable Systems unit had. Its impact was about $5 million in Q2, and I think it will be almost $10 million in Q3 in terms of consolidated sales. It’s really relatively tiny. The telecom tenders, we were expecting tenders to happen earlier. I can’t tell you why they don’t. You probably heard me say in the past that we believe all of the telecom business in China is ultimately controlled by government policy. So whether it was the management changes or not, I can’t know for sure. But definitely tenders that we expected earlier have not happened yet. There is a tendering process right now. What we just don’t know is when it will be complete, and how much the volume will be. But definitely against our original expectations for China, this has been a slow down.",,,
Ehud Gelblum,James Flaws,"On LCD, obviously screen sizes have been growing for the last almost 18 months or so. To what extent do you think the significant fall-offs in glass pricing that we’ve seen over the last 18, 24 months, how much do you think that has contributed to people just buying larger TVs because the price points have come down, primarily because glass pricing has come down. And we’re now, in 2013, in an era of moderate price declines as we get into 2014 and beyond, do you think that maybe we’ll see an end to the larger screen sizes? You see what I’m saying? Maybe the larger sizes will link to the lower prices? When you [unintelligible] lower prices, you [unintelligible] larger screen sizes a little later too?","I don’t think the glass price declines have been the primary reason why pricing at retail has gone down. Obviously it contributed and for panel makers, also the fact that the yen has helped them on their profitability has gone up. I just think that the price points and the quality of televisions are so incredible that it’s hard to imagine people buying a small television now. I got up early this morning and read a whole bunch of retail television ads for the past month, and I just remain stunned by how low the price points are. So I’m not expecting price points to go back up on large televisions next year, and I think we’ll begin to see sometime next year 2k/4k showing up. Obviously that would be more expensive initially, but I don’t think there’s any going back on this size phenomenon.",,,
Ehud Gelblum,James Flaws,"Okay. So I don’t think prices will go up, I’m just wondering what you thought about the glass prices going down impacting the total price of retail. On the Gorilla side, you mentioned Dell. You said that there were other OEMs coming out as well, but are we to assume that Dell is the only one that really will be using Gorilla in any type of volume in 2013, and the rest of them are out in 2014? And then you had a previous comment, on the last conference call, previously, before that, that you expected, I believe, 10% of notebooks and laptops to be either touch or have cover glass. I was wondering what your current expectations are. Is it still in line with the 10%, and is that in line with the guidance now for Gorilla and specialty materials?","The guidance for the year was around 10. It will be higher in the fourth quarter. I won’t comment on customers. Dell’s the one that announced with us yesterday, but we expect to be on a number of notebook manufacturers",,,
Jagadish Iyer,James Flaws,"Two questions, Jim. I just want to understand, you said you don’t have any updates on the automotive segment. I just wanted to find out what is the gating item there in terms of the adoption of these specialty glasses for the [unintelligible] applications. And then I have a follow up.","Well, it’s always hard to get your first customer. You know, we had hopes that we would get on a certain model. That has not turned out right now. But we’re still trying very hard. But this is a fairly revolutionary new product for the automotive industry, and it’s always hard to win your first one. So beyond that, I can’t say. I mean, we haven’t stopped trying.",,,
Jagadish Iyer,James Flaws,"Would we have any timeline when we could potentially hear? Is it probably later this year, or maybe next year?",I don’t have a new timeline. I actually thought I would be already announcing. So we’re a little disappointed by that.,,,
Jagadish Iyer,James Flaws,"Would we have any timeline when we could potentially hear? Is it probably later this year, or maybe next year?",I don’t have a new timeline. I actually thought I would be already announcing. So we’re a little disappointed by that.,,,
Jagadish Iyer,James Flaws,When do you think you’ll have some meaningful uptick of the Willow Glass in terms of you’re actively engaged with customers? When do you think we can expect to hear more on the traction on Willow Glass?,"I think we’ll talk more about Willow in the October conference call. Okay, so we’ll wrap up here. I just have a couple of investor relations comments. First, in case you missed our announcement in June, we did officially appoint Ann Nicholson division VP, and she’ll be leading our investor relations function. We’re delighted to recognize Ann’s performance with this promotion. Our second announcement is we will be speaking at the Citi technology conference on September 4 in New York City. I’d like to summarize a few highlights of the call. First, we’ve made great progress on our plan to stabilize display and then return to positive momentum in this segment. Second, we’re executing our goal to grow earnings in our other businesses. In addition to volume growth, strong operational execution and cost reduction efforts have been a significant driver of profitably improvements. We grew our core earnings per share year over year by double digits for the last three quarters. We think this is strong evidence we’re marching up. Fourth, Dow Corning silicones are not improving year over year, and that’s a big disappointment to us. And finally, as we look forward to Q3, we’re confident that we will have our fourth consecutive quarter of year over year core earnings growth, despite the weak Dow Corning outlook. It will be driven by moderate glass declines in LCD, and growth in telecom, life sciences, and environmental. Ann?",,,
