asker,responder,question,answer,,,
Ronny Gal ,Giovanni Caforio,"Good morning, everybody. Two, if I may. First, the office has now come out to restructure Part D with some participation by pharma through the cost structure of roughly 10%, even from a Democratic side -- from the Republican side. I was wondering if you could just kind of ballpark for us the relative impact of pharma participation in the cost structure of Part D and how does that translates into your own revenue.
And second, I was wondering how you're gonna handle the difference in prices for Zeposia between the MS market and the IBD market because of the two different price stance and you're transcending that. So how are you thinking about handles?
","OK, thank you. Thanks very much. Let me start there, and then, I'll ask Chris to address your question on Zeposia. So let me say, obviously, there is continued dialogue about the potential benefit design changes that may be discussed by the administration.
And I think it's premature to go into any assessment of what the Part D redesign -- what elements may be discussed going forward. I think what's important is a couple of things. So first of all, as you know, we have a very diversified portfolio across multiple payer segments and multiple therapeutic areas. And so there will always be different impacts on different parts of our portfolio from any benefit redesign and very different dynamics for a product like Revlimid versus a product like Eliquis.
So that makes it difficult to give you any insights into the impact of reforms because it really is important to know the details. What I think it's more important is the fact that from our perspective, it is critical that we look at reforms and have one objective in mind, which is to improve affordability for patients in Medicare Part D. That's sort of the core of the priority that the industry has. And the proposals that we'll continue to make as we interact with the administration, we'll be focused on elements of Part D redesign that include establishing out-of-pocket caps, reducing the overall impact to patients in the catastrophic phase, smoothing expenses throughout the year.
And so as proposals progress, I think it will be easier for us to provide insights into how that impacts our portfolio. Chris?
",,,
Ronny Gal ,Chris Boerner,"Good morning, everybody. Two, if I may. First, the office has now come out to restructure Part D with some participation by pharma through the cost structure of roughly 10%, even from a Democratic side -- from the Republican side. I was wondering if you could just kind of ballpark for us the relative impact of pharma participation in the cost structure of Part D and how does that translates into your own revenue.
And second, I was wondering how you're gonna handle the difference in prices for Zeposia between the MS market and the IBD market because of the two different price stance and you're transcending that. So how are you thinking about handles?
","Yeah, thanks for the question. Obviously, we are keenly aware of the differential in prices between the MS market and UC. As you know, we priced Zeposia in line with the value it provides and ensuring the broadest patient access in the MS market. And as we think about UC, it's certainly too early at this point to discuss how we are thinking about pricing in UC.
What I would say is that we're going to factor price considerations. How we think about the broader access and the importance of access in IBD generally. And we have plans in place that we'll execute as we get closer to the approval of Zeposia in UC, but it's something we've been focused on for some time.
",,,
David Risinger ,Samit Hirawat,"Yes. Thanks very much. I have two questions, please. First, could you just discuss the bar that Bristol-Myers set in first-line melanoma with the combination of Opdivo plus Yervoy? Just so we have that in context ahead of the LAG's readout ahead.
And then, second, could you provide a framework for Zeposia sales drivers in coming years in both the U.S. and ex-U.S.? Thanks very much.
","Yeah, thanks for the question, David. The way to look at it, though, as Chris mentioned earlier, there's still a large number of patients who are treated with either single agent I-O or through non-I-O regimens. So yes, O plus Y is a very important regimen, has shown very important efficacy and long-term effects and maintenance of that effect and so therefore, it becomes important. What we are now bringing is an additional, let's say, treatment potential for patients who can be treated, who have melanoma in the first-line setting with relatlimab on top of nivolumab as a single agent.
And that's the reason why we're excited about this, to be able to add to the treatment paradigm for prescribers and for patients to potentially use in the future once approved in this particular setting. One has to remember that we are also talking about the safety profile and its differentiation over here. So relatlimab plus nivolumab, therefore, becomes an important aspect of the treatment paradigm looking at the future.
",,,
David Risinger ,Chris Boerner,"Yes. Thanks very much. I have two questions, please. First, could you just discuss the bar that Bristol-Myers set in first-line melanoma with the combination of Opdivo plus Yervoy? Just so we have that in context ahead of the LAG's readout ahead.
And then, second, could you provide a framework for Zeposia sales drivers in coming years in both the U.S. and ex-U.S.? Thanks very much.
","Yeah. And then, let me take the question on Zeposia, David. So the way we think about Zeposia is, first of all, we're very excited about the opportunity initially that we have both in the U.S. and ex-U.S.
in MS. We think that Zeposia brings a very differentiated profile into this market. It's now in the U.S., the No. 1 SP in terms of written prescriptions.
We're gaining on oral agents. And as I mentioned earlier, we are making progress in terms of optimizing the patient pull-through in terms of commercial dispense. So we think we've got considerable opportunity to continue to grow in the short term in MS in the U.S. Ex U.S., it's still very early days for the launches of Zeposia, but I would say that in the early launch markets in Europe, Zeposia's uptake appears to be very good, particularly in markets like Germany.
So I think in the near term, there's going to be clearly a focus on maximizing the opportunity that we have with Zeposia in that market globally. And then, of course, with the upcoming launch in UC, that becomes a much more important opportunity for us as we get into 2022 and beyond. Zeposia's profile looks very good. The feedback we've gotten from treaters in the IBD space is very positive.
Obviously, the rate limiter in terms of the U.S. uptake is gonna be accessed. We know that's a very important component, and we are going to approach that in a very stepwise fashion. It's going to be important that we drive volume initially in those patients -- with those patients who have insurance that is open or relatively unrestricted.
And then, we'll leverage the Zeposia profile to drive additional utilization and then, of course, work with payers to ensure that we continue to increase the access that patients have in that space. That will clearly take some time. But we think the opportunity in IBD for Zeposia is substantial. And that will be important both in the U.S.
and ex-U.S. as we get into that launch in -- later in 2021 and then, certainly 2022 and beyond.
",,,
Greg Gilbert,Giovanni Caforio,"Thank you. On LAG-3, how are you thinking about the importance of biomarkers here? And what level of granularity should we expect around the data set of ASCO as it relates to LAG-3 positivity, etc.? And then, Giovanni, a different twist perhaps on the business question. When you took over a CEO, I imagine there was quite a sense of urgency to diversify the company. But with the steps you've already taken to do so, would it be fair to characterize your M&A strategy from here as more about enhancing existing franchises and less about diversification as a concept? Thanks.","Thank you, Greg. Let me start there, and then, I'll ask Samit to give you an answer on the biomarker strategy for LAG-3. I think you're absolutely right. I believe that one of the things that is a clear strength for the company today is the diversification of our business.
When you look at our oncology business, solid tumors and hematology, what's happening in immunology, which is clearly the fastest-growing segment of our business right now and the long-term sustainable leadership position that we have in cardiovascular medicine, I think that we have an incredibly well-diversified set of businesses with strong dynamics for all four of them. So I think that's an important foundation that we've built for the company. And at this point, I see that as an opportunity because we have capabilities that we can leverage. We clearly have deep expertise, whether that's from a scientific and development perspective or from a commercial perspective, growing in all of those areas.
And it gives us an opportunity to look at assets where we can acquire really promising technology, apply our expertise and maximize the value of those assets. So the priority for us now in business development is across all of those areas, to continue to strengthen our portfolio. And as I've mentioned several times, the objective that we have is to further strengthen the outlook in the second part of the decade. But our business is extremely well diversified at this point.
Samit?
",,,
Greg Gilbert,Samit Hirawat,"Thank you. On LAG-3, how are you thinking about the importance of biomarkers here? And what level of granularity should we expect around the data set of ASCO as it relates to LAG-3 positivity, etc.? And then, Giovanni, a different twist perhaps on the business question. When you took over a CEO, I imagine there was quite a sense of urgency to diversify the company. But with the steps you've already taken to do so, would it be fair to characterize your M&A strategy from here as more about enhancing existing franchises and less about diversification as a concept? Thanks.","Thanks, Greg. Thanks, Giovanni, and thanks, Greg, for the question as well. For LAG-3, obviously, I'll not get into the specifics of the data that we presented at ASCO. But certainly, some of the biomarker data will be included in the presentation.
As you may recall from all the published literature around LAG-3 and in general, for I-Os, it's been a difficult exercise to get specificities around which biomarkers really dictate the activity of the medicines that we are testing and exploring. So we'll continue to get into that, into deeper details after the data are presented, but certainly looking forward to a better understanding of the overall landscape and as we look to the combinations and other indications as well.
",,,
Matt Phipps,Samit Hirawat,"Thanks for taking the question. Just two quick ones. Can you give us any update on time lines for an EFS look and the CheckMate -816 trial? And how do you think the overall market there and the potential opportunity there is impacted by the Roche and Power ONO positive announcement. And then, secondly, on the TYK2 given the strong results you saw in moderate-to-severe patients and then, also the attempted advanced study in mild to moderate.
Any plans to maybe run an additional head-to-head study versus Otezla in a mild-to-moderate patient population to expand the opportunity?
","Well, the second one, probably I'll pass it on to Chris. So first one, I will say that for EFS for 816, you've seen the data already for the pathologic complete response is certainly very, very encouraging. Looking forward to the EFS readout toward the end of 2022, early 2023 time frame. So it still remains, from that perspective, on track.
And we'll certainly be sharing it as soon as we have that data available. Just one more thing that I want to clarify what I said early on, on Andrew's question around the speculation around the AdCom. The speculation that we hear is around the JAK inhibitors, and we have no knowledge around inclusion of TYK2 as being included in there. And that's why I just want to clarify one more time.
",,,
Matt Phipps,Chris Boerner,"Thanks for taking the question. Just two quick ones. Can you give us any update on time lines for an EFS look and the CheckMate -816 trial? And how do you think the overall market there and the potential opportunity there is impacted by the Roche and Power ONO positive announcement. And then, secondly, on the TYK2 given the strong results you saw in moderate-to-severe patients and then, also the attempted advanced study in mild to moderate.
Any plans to maybe run an additional head-to-head study versus Otezla in a mild-to-moderate patient population to expand the opportunity?
","And let me just very quickly hit on the commercial opportunity for 816 and then, turn it back to Samit on TYK. We're happy with the results, obviously, that we've seen so far with 816. As Samit just mentioned, the data continue to emerge in this space. What I would say is that this is a fairly sizable opportunity.
There are about just shy of 30,000 treatable patients here. The treatment rates are in the order of 60% to 65%. So we think there's an opportunity to do two things. One, obviously, provide an opportunity in the neoadjuvant space for those patients who are being treated today and potentially continue to push the treatment rate.
And remember, many patients will be identified once you have more active treatments that are available in this space. So we think there's considerable opportunity here. Samit?
",,,
Matt Phipps,Samit Hirawat,"Thanks for taking the question. Just two quick ones. Can you give us any update on time lines for an EFS look and the CheckMate -816 trial? And how do you think the overall market there and the potential opportunity there is impacted by the Roche and Power ONO positive announcement. And then, secondly, on the TYK2 given the strong results you saw in moderate-to-severe patients and then, also the attempted advanced study in mild to moderate.
Any plans to maybe run an additional head-to-head study versus Otezla in a mild-to-moderate patient population to expand the opportunity?
","Great. Thank you. And in terms of the TYK2 versus Otezla product, I think, first of all, we are excited about the data that we have. We have, obviously, the mechanism of action that is quite unique over here.
We've seen the data in the moderate-to-severe psoriasis. We have additional studies that are ongoing in the IBD space, in the lupus space. The discussion around moderate to severe -- mild to moderate psoriasis continues. And we'll certainly share with you ultimately what the plans would be.
But truly excited today where we are, and certainly, the evolution of the data at the end of the year in additional indications. We are not ready to share yet our plans for mild-to-moderate psoriasis.
",,,
Steve Scala,Giovanni Caforio,"Thank you. A couple of questions. Based on everything that has been said, it sounds as though the relatlimab data is not competitive with Opdivo plus Yervoy on efficacy. It might be on safety or am I misinterpreting? For instance, you mentioned adding to the armament area but not advancing it.
You referred to many patients on monotherapy are not receiving I-O, but you didn't really refer to those on I-O, I-O. So I'm just curious what we should interpret and what full data be in the abstract on May 19? Second question on slide -- on Page 6. Of the 90% of products in the continuing business, should we think about Opdivo plus Yervoy comprising about 50% of that 90%? Thank you.
","Thank you, Steve. Let me just provide some perspective. So to answer your second question. As we've said, 90% of the business by 2025 being continuing business that excludes Revlimid and Pomalyst.
In that 90%, we've said about a third are the launch brands. The rest is the current online portfolio. We're not breaking that 70% down further into individual products. But I think what's important there is actually the strength of the emerging business for the remainder of the decade.
And obviously, the launch brands become particularly important given that we're discussing 2025. Let me just reiterate our enthusiasm for the relatlimab-Opdivo fixed-dose combination in melanoma. It is clear that we have a very well-established standard of care with O plus Y and long durability of response demonstrated over a long period of time. But I just want to, again, reiterate from an efficacy perspective, from a safety perspective, we are really excited to be able to show the data at ASCO.
Samit?
",,,
Steve Scala,Samit Hirawat,"Thank you. A couple of questions. Based on everything that has been said, it sounds as though the relatlimab data is not competitive with Opdivo plus Yervoy on efficacy. It might be on safety or am I misinterpreting? For instance, you mentioned adding to the armament area but not advancing it.
You referred to many patients on monotherapy are not receiving I-O, but you didn't really refer to those on I-O, I-O. So I'm just curious what we should interpret and what full data be in the abstract on May 19? Second question on slide -- on Page 6. Of the 90% of products in the continuing business, should we think about Opdivo plus Yervoy comprising about 50% of that 90%? Thank you.
","And Steve, the point I would add is, look, we did not do a study of nivolumab plus relatlimab versus nivolumab plus ipilimumab. So it would be unfair to start comparing the data for the two trials. Secondly, nivolumab plus ipilimumab, as Chris has said earlier, as Giovanni just said, has been established for a long time, so we have long-term data, overall survival data, response rate data. For relatlimab, we do not have the overall survival data, as well as the response rate data.
But we are excited to see where we stand with our overall progression-free survival data as compared to single-agent nivolumab. And you'll see that data very soon. And certainly, we can have a dialogue after that. But as Giovanni said, very pleased where we are and certainly looking forward to the evolution of the data as we go forward.
",,,
Luisa Hector,Chris Boerner,"Hello. Thank you. I wanted to return to Zeposia, please. I mean, MS is a very tough market to be launching in Q2 COVID.
I'm just wondering which patients are starting on Zeposia and do you expect that to evolve? And then, on the UC indication, are you anticipating an AdCom? And could you update us on how you're preparing for launch? Thank you.
","Sure. Let me start, and then, I can maybe turn it over to Samit for the AdCom question. So very happy with the performance of Zeposia in MS, particularly as you point out, in light of the COVID environment. This was, as we had talked about last year, a market that was hit by COVID in terms of new patient volume being down.
And obviously, this is a market that we are entering into relatively new for BMS. And so at the end of last year, we spent a considerable amount of time making sure we were engaging with customers in many cases for the first time. And then, so our focus was continuing to do a few things. First, it was making sure that we were selling the profile for this, what we believe and clearly is being demonstrated in the data, No.
1 SP in this market. We've seen very good uptake in terms of written prescriptions here. Obviously, the dynamic pool of MS is relatively small. And we've seen most of the business at this point coming from switch patients, and we're continuing to get an increase in new patients who are coming onboard as well.
So we're very happy with that. And we would expect that to continue to evolve over time. And then, obviously, as I mentioned in one of the previous questions, a big focus for us has been making sure that we continue to convert those written scripts into commercial dispense and ensuring a very smooth journey for patients in this market, and we've had a great acceleration there. So excited about what we're seeing so far, and we think we are on a very good trajectory for Zeposia in MS in the U.S.
Samit?
",,,
