asker,responder,question,answer,,,
Craig Huber,Victoria Dux Harker,"And then a couple -- a few more housekeeping questions, please. On the cost front in newsprint, what was the average percent change in price year-over-year in consumption? And then also I'm curious, for your Digital segment, Gracia, the up 5% or so revenues, what was that number excluding the small acquisitions, please?","This is Victoria. On the newsprint price for the quarter, it was down just pretty small. It was about 0.4% decrease. The usage was down about 8.6%. So expense overall, down about 9%. That's roughly in line with what year-to-date -- it's slightly higher in total for year-to-date but it's about the same ratio.",,,
Craig Huber,Gracia C. Martore,"And then a couple -- a few more housekeeping questions, please. On the cost front in newsprint, what was the average percent change in price year-over-year in consumption? And then also I'm curious, for your Digital segment, Gracia, the up 5% or so revenues, what was that number excluding the small acquisitions, please?","And I assume on the 5%, you're referring to our Digital segment. And really I think we've lapped most of the acquisition. So if they had any impact, it would have been very nominal.",,,
Craig Huber,Gracia C. Martore,"Then my last question, Gracia, for that U.S. TODAY content that you put in these 4 pilot markets, I mean, you've said 70 pages in total across a week. I'm curious, does that include extra ad revenue in there as well? Or that can't be all just editorial, I assume, right?","First of all, those 70 pages include both USA TODAY content, as well as additional local content. A lot of it is content, but there is some advertising. So for instance, for a USA TODAY advertiser now has an opportunity to be across a wider swath of consumers by being in that section. So obviously there is going to be some advertising content as well as a great deal more of editorial content as well.",,,
Alexia S. Quadrani,Gracia C. Martore,"Just following up on USA TODAY, could you give us a little color, I guess, what the strategy is there in terms of this migration of -- with the hotels to more digital product versus the print product? I guess, any color you can give us on how that impacts your profitability or really how you monetize that move.","Sure. I think all of us who travel and all of us who stay in hotels understand that more and more consumers, when they're in hotels, are armed with smartphones or tablets or whatever devices, in addition to receiving the USA TODAY at their doorstep. And what we believe is that we need to be at the forefront of however consumers want to activate and access our content. And so as more consumers and hotels want to consume that content on their devices, we want to be there, and we want to follow those consumers. And so we've effectively done that in the Hilton situation. Now, as I've said before, those opportunities that we have in the Hilton Hotel rooms, which I think are in excess of 3,000 or 4,000 hotel rooms now, is not going to be in your circulation revenue, but we are paid to provide that portal and those -- some of those additional features of content. And then I think also what it helps us is that it's a pretty targeted audience, and we can show to advertisers and others that these folks are travelers and have certain demographics because they're in certain part of the Hilton Diamond members or whatever. So I think it's a combination of advertising, together with being paid to provide that portal service. And frankly, it costs us less to provide that content, where there's no ink and paper and distribution costs involved.",,,
Alexia S. Quadrani,Victoria Dux Harker,"Just following up on USA TODAY, could you give us a little color, I guess, what the strategy is there in terms of this migration of -- with the hotels to more digital product versus the print product? I guess, any color you can give us on how that impacts your profitability or really how you monetize that move.","And just -- this is Victoria, just to expand on that a little bit, we're looking also now the next set of opportunities past Hilton to take a similar kind of approach with other hotel chains that allow a similar type of a portal access that we have the ability to charge for, and again, give -- take out the expense of providing just a pure newspaper approach to their offering to their customers. So it's a win-win for both of us.",,,
Alexia S. Quadrani,Gracia C. Martore,"I guess, on that front, is the goal eventually to maybe to migrate completely to a digital model for USA TODAY? And then secondly, I guess, any thoughts on maybe a potential paywall on USATODAY.com?","I think I would reiterate what I said at the beginning, which is that we are going to follow consumers wherever they take us. What we're now seeing in these 4 pilots that we have done is that our customers in those markets love receiving additional USA TODAY content in their local newspaper. So there's -- I believe there's going -- for quite a period of time, there's going to be people who want to receive their content from USA TODAY in the print form, but more and more consumers are going to want to receive that content on their smartphones, on their iPads. We need to be wherever consumers want to be -- want to access that content. And we believe it will morph over time, but I don't think we're sitting here suggesting that digital-only is in the short term where we're going to be. And a paywall for USA TODAY, I will leave that to no current plans.",,,
Kannan Venkateshwar,Gracia C. Martore,"
Just a couple of questions on the newspaper segment. The first is on the paywall. I just wanted to understand the math behind the $100 million gain in operating revenues -- I mean, sorry, the operating income. Because if we go back to 2011 and compare the revenues, circulation revenue to that period for the first 3 months -- 3 quarters of this year, then you're just slightly ahead of what you were doing then. And if I remember correctly, you'd guided us to an operating margin of about 50% in that business. So the revenues are just slightly ahead. Then just from a -- just mathematically, the margins can only be higher than $100 million if the operating margins are a lot higher than 50%.
","Okay. I think what you're looking at is our total circulation revenue, which would include USA TODAY, Newsquest as well as U.S. Community Publishing. Well, obviously we have the benefit of knowing those numbers as they pertain to each one of those businesses. And we have been scrupulous in viewing those numbers. And if you look at where they are, there's several components you have to look at when you simply look at the 78 markets within U.S. Community Publishing that had the benefit of the all-access content subscription model. So you start with gross revenues, then you have to take that down for additional marketing, additional other things that we do. And in fact, those numbers are very much on track to realize the $100 million of operating revenue -- operating profit.",,,
Kannan Venkateshwar,Victoria Dux Harker,"
Just a couple of questions on the newspaper segment. The first is on the paywall. I just wanted to understand the math behind the $100 million gain in operating revenues -- I mean, sorry, the operating income. Because if we go back to 2011 and compare the revenues, circulation revenue to that period for the first 3 months -- 3 quarters of this year, then you're just slightly ahead of what you were doing then. And if I remember correctly, you'd guided us to an operating margin of about 50% in that business. So the revenues are just slightly ahead. Then just from a -- just mathematically, the margins can only be higher than $100 million if the operating margins are a lot higher than 50%.
","And that was the rate -- that was the target, the metric that was put out at the time we had launched the all-access content subscription model in the spring of the prior year. So that's the apples-to-apples in terms of those 78 markets and the benefit of this particular rollout.",,,
Kannan Venkateshwar,Gracia C. Martore,"Okay. The second question was, in terms of the newspaper business, now post the Belo acquisition, is there any thought behind the newspaper business as a standalone entity towards a less [ph] modest or something? And can you just give us your thoughts on why it should be part of the consolidated entity?","Sure. A couple of things, Kannan. First of all, I think for the foreseeable future, certainly into 2014, our #1 focus is on closing on and integrating Belo and achieving all of the synergies, if not more, that we shared with you when we announced the Belo transaction. So that's incredibly high on our list of things and our priorities right at the moment. I'd say secondly, as we've discussed, I think, several times is the fact that when we look at our publishing markets and our broadcasting markets, we really don't look at them as publishing or broadcasting solely. We look at them as local markets where we have incredibly strong brands, where we have been for a very long time, where we have rich, deep relationships with literally thousands of businesses, both large and small. And so when we look at things like what I'm talking about with G/O Digital and our digital marketing services business, what we are finding is as we've rolled that out across both publishing markets and broadcasting markets is that they are equally successful in generating additional digital revenues because businesses in those communities, in addition to wanting to have print or broadcast advertising, also understand the importance of reaching consumers on digital platforms and in ways that are more attractive on a digital basis. And that is true of the businesses we go at, whether they're in a -- whether we happen to have as our main brand in that market a title like The Des Moines Register or a title like WUSA Channel 9 here in D.C. And so we see the incredible opportunity we have to scale these additional businesses like G/O Digital across 111-plus markets locally in this country where we have common characteristics and common advantages. And we just see that as a unique huge opportunity that, frankly, no one else has. And so that's why we see this as -- we don't just look at them as publishing and broadcasting markets. We look at them as local markets where we have incredible advantages. And we have the ability to scale technology platforms and other things across 111-plus local markets in this country, which is pretty extraordinary for anyone.",,,
Victoria Dux Harker,Gracia C. Martore,"And just to take that to a very specific example from an investment standpoint, as Gracia pointed out, we have a much broader platform across all 3 of our business to advertise investment. We will be spending $110 million in CapEx this year, 2/3 of which are so are on the products that are around digital, which are now being developed, trained and rolled out across different channels. So we -- absent having that broad footprint across the segments, you'd have to spend incrementally more to develop them separately. And I think that's a huge advantage that we gained through efficiencies of our investment.","All of that being said, for the time being, we're incredibly focused on integrating Belo. We're incredibly focused on developing the businesses we've talked about. But as with everything, we are always looking at it. Our board, whenever we meet with them, we're always looking at different alternatives. But at the end of the day, what we're in this business to do is to create additional shareholder value. And that's what we're focused on doing",,,
Kannan Venkateshwar,Gracia C. Martore,"Okay. So one last question is on classified ventures. I mean, there's been a news flow more recently on Apartments.com and so on. What's your thought on that asset? I mean, is there a point at which you basically sell that asset and monetize it?","I think we're just going to have to see. Right now, as you said, we are looking at -- all of the partners are looking at the strategic alternatives around apartments.com. We'll just see -- have to see how that unfolds. The other thing I would say is that when you look at the cars.com business, it's a terrific business. When you think about where auto sales and new car sales are going to be this year and the fact that prognostications are that next year is going to be another potentially a $16 million plus new car sales unit year, that's a very, very good business. And we'll just see how it continues to grow in the best way to maximize value there down the road.",,,
James C. Goss,Gracia C. Martore,"A couple related to Broadcasting first. Given that there's been an industry rollout in the broadcast sector, Belo -- and your Belo deal is certainly a big part of it, I'm wondering in terms of the overall environment, is there a sense of urgency, sort of make hay while the sun shines, or is it -- is there any more calm approach you can take before taking the next step of another acquisition perhaps in that area as you integrate Belo? And related -- sort of unrelated in Broadcasting, curious about the logic of your Captivate move. Did you take that as far as you thought you could on your own and you thought this was an additive issue? You might talk about that a moment.","Sure. With respect to the industry roll-up, I like to think we take a calm approach to everything. And there were lots of deals that were being done before Belo, and there will probably be lots of deals done after Belo. For us the Belo deal was a unique opportunity to expand into some incredibly great markets. Texas and the Pacific Northwest where, number one, we didn't have any exposure; number two, which were faster growing markets than the average in country. It enabled us to increase our scale in a very meaningful way to become the -- will allow us to become the #1 CBS affiliate group, reinforce our #1 status with NBC and become the fourth-largest affiliate group for ABC, where we had been nowhere with them before. So it had a lot of characteristics, a lot of great markets that we were interested in. And we believe that scale really does matter. And at this point with the Belo transaction, we'll be covering close to about 30% of the country. That's very good scale for us. Could we move some pieces around or do some other small things? Sure, but we don't feel any pressure to go out there and do a deal that doesn't make good financial sense and create shareholder value very quickly. With respect to Captivate, what we saw there -- we like our Captivate business very much, but I think what all of us have come to realize in the out-of-home space is that there's a need for some consolidation and there's a need for scale in that business as well. And we have a unique opportunity with Generation Partners to combine our assets with their ability and willingness to fund capital going forward, both from a capital expenditure standpoint, as well as potentially a roll-up strategy going forward, while we continue to have a piece of that business and enjoy the potential upside to that business, while getting some return on our investment to start with. So it just was a unique situation on an asset that we believe needs to be consolidated into a broader out-of-home play.",,,
James C. Goss,Gracia C. Martore,"Okay. Gracia, a couple more smaller ones, I think. Do you -- is there a perceived opportunity in terms of mobile ad sales you feel developing with the USA TODAY and the tablets and smartphones? And is there some pricing and volume you think you'll be able to generate in that area? And then with regard to the digital moves, are there smaller vehicles with bigger potential? You mentioned Shoplocal or DealChicken. Are some of those ones that you think will have -- play an increasingly large role as time goes in?","Let me start with the mobile question, and anybody that would like to jump in, feel free to. We see enormous opportunity in mobile and especially at USA TODAY but really across our entire set of businesses. USA TODAY has put up some phenomenal increases in mobile users and page views and in all the mobile metrics that make it just an outstanding vehicle. And we see opportunities certainly arising with our ability to monetize mobile in a much more meaningful way. And so we're continually working on that both at USA TODAY as well as, frankly, across all of our mobile platforms, whether they are in broadcast or in our publishing side of the business. So just a huge opportunity, we believe, going forward and something that we're carefully working on. I will tell you that the area that we're also focused on is video because video right now carries a very attractive eCPM. We have increased our video views across the company in an extraordinary way, and we have a lot more that we're doing in that area. And we see some opportunity there, especially having a very expanded broadcasting business, together with our video production center down in Atlanta, to really be able to maximize the video opportunity in a much more meaningful way over the next several years.",,,
Barry L. Lucas,Gracia C. Martore,"Okay. Gracia, a couple more smaller ones, I think. Do you -- is there a perceived opportunity in terms of mobile ad sales you feel developing with the USA TODAY and the tablets and smartphones? And is there some pricing and volume you think you'll be able to generate in that area? And then with regard to the digital moves, are there smaller vehicles with bigger potential? You mentioned Shoplocal or DealChicken. Are some of those ones that you think will have -- play an increasingly large role as time goes in?","Sure, Barry. Let me take the first 2, and then Dave will talk about spats since I apparently don't like to talk about spats. With respect to approvals, obviously, as we all know, the government was shut down for 16 or 17 days. That included the FCC and the DOJ. I assume that they're getting ramped back up after being offline and not checking e-mails and all those wonderful things. We are doing everything that we can, obviously, internally to close the deal, as we previously have indicated. It's not obviously entirely in our hands. We don't control the FCC or the DOJ or what their lineup is right at the moment, given they were not on track for over 2 weeks. But we are moving as expeditiously as we possibly can. With respect to Aereo, as I've mentioned before, we just believe that there's been lawsuits all over the place. Some have obviously been very favorable; some of them have been unfavorable. I think ultimately, as we've said, we suspect that the Supreme Court will ultimately decide on it, but we continue to believe that the copyright laws of the United States of America should prevail. We believe that when we provide content that we should be paid for providing that content. I think that underlies what's happening in retrans and underlies what we've done with our all-access content subscription model. And so we ultimately believe that the copyright laws of this country will prevail. But Dave, you want to comment on?",,,
Barry L. Lucas,David T. Lougee,"Just a couple of quickies really on the TV side. One on the approvals process, and particularly DOJ, any color you can give there, as well as the FCC. And then two would be the, I would say broader threats to broadcast. Any thoughts you have and can share on Aereo and Barry Diller and/or this little spat that's grown up with [indiscernible] and DISH and Media General. And it doesn't appear to me to be an argument over $0.05 or $0.10 per sub per month. So any thoughts on any of those subjects will be greatly appreciated.","On the DISH and Media General, I don't think we should comment specifically on any particular company's negotiation. But generally, I'd just say, as the NAB has pointed out, that in the very, very few cases where there's been any kind of discontinuance of service, it's been 1 or 2 providers for the most part or 3 across, and that we don't believe that's an accident. As it relates to us in terms of risk mitigation, we have very strong stations that are very valuable to the consumers in our markets and like our situation relative to our value proposition. I don't know if Marci Ryvicker is on the call, but Wells Fargo put out a piece just a couple of months ago that talked about accurately so that, I think, in 2012 broadcasters will account for 35% of all of the viewing nationwide and yet 7% of the subscriber fees. So what you have there is still a lack of market alignment that is positive for the industry overall. And irrespective of what may happen with an individual negotiation with other companies, the truth is on our side, as we'd like to say, as it relates to the market realities.",,,
