asker,responder,question,answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
Jason English,Michele Buck ,"Hope all is well. I want to pick up on the back of Chris' questions and tease out -- try to tease out a little bit more of the outlook on Holidays going forward. The Halloween early part selling was phenomenally strong, much better than I think anyone's expected, I think a big part of that is due to the merchandising programs that retailers had. It seems like they started bigger and earlier than they usually do.
Has that, do you think, influenced how they're going to approach other seasons going forward? So said more directly, you expect retailers to provide more merchandising support behind the category into Holiday, into Easter than they otherwise would coming out of the success they saw in Halloween?","So we've always had pretty strong merchandising support at every season and one thing we always think about with seasons is when we get it on the floor, because we know that consumers will buy that holiday or seasonal product, whether it's Easter or wherever, early for in-home consumption, if you get it out there, it kind of spark the trigger of fun moments earlier.
So I don't know that I could say specifically that we can anticipate that retailers are going to merchandise it even more than they ever have. I do think that they will be focused on making sure that they definitely get it out early to capture the early part of the season, since that is the piece that is a bit more stable.
There were a few retailers, as you can imagine with the uncertainty of Halloween and the fact that all these decisions about what to do with Halloween really had to be made in early May, when things were quite uncertain and schools were closed and bars and restaurants, and all of that.
So there are a few retailers, who had pulled back on Halloween. And based on the results of the season this year, they will likely have more confidence going forward, which should help to make for an even stronger Halloween next year and probably also build confidence for the other seasons like Easter.",,,,,,,,,
Jason English,Michele Buck,"That makes a lot of sense. And then one more question on the -- I'm sticking with follow-ons to Chris' questions, which I thought were solid. The early part of the season versus the latter part of the season. The earlier part of the season was exceptionally robust and you said late part was a bit softer, but in -- somewhere in your remarks, I think you said all in total Holiday, so both early part and late part finished down mid-single digits for the category.
I think mathematically to get the category down mid-single digits, we're going to have to see some pretty, pretty sharp declines coming through the retail sales data in the next couple of weeks as we capture that late part of the season. Am I thinking about it right, am I interpreting your comments correctly?","Yes. Yes, you are interpreting them correctly. So category was down mid-single digits overall as much as our business was actually up and we will see some of those declines. And Jason, one other thing to just keep in mind, there is a little bit of a timing impact from the Nielsen and IRI data, given the season was on a Saturday versus a Thursday and based on retail reporting days. So you will probably even see it's down even more. And you'll have to wait till kind of mid-November till you see some of those last couple days being reported. So some of it when you see will be just the timing shifts of the day of the week and some of it will certainly be the declines in trick-or-treat at the end.",,,,,,,,,
David Driscoll,Steve Voskuil,"I had two questions. The first one, just two relatively small ones. On the other expense commentary, I think through the -- through the year-to-date period, other expense is only a very small number, but your full-year projection in the $100 million to $110 million on that means it's a fairly massive number in the fourth quarter. Am I doing the math right? Is that correct on how the pattern lays out for other expense?
And then related just another follow-up on your volumes expected in the fourth quarter, I think in your prepared comments you said North American organic growth similar to third quarter, but pricing only like a 0.5 point. So that would mean volume is something like 5 percentage points positive in the fourth quarter. Am I doing those two pieces, right? Any color you can give on those two comments.","Yeah, I'd be happy to. So on the tax side and other expense, you're exactly right, we will have a large other expense in the fourth quarter. That's consistent with what we've been saying even in the early guidance, earlier in the year and then along with that, a lower tax rate in the fourth quarter. If you do the math on the tax rate, you also have to settle for a lower tax rate. So that's how the -- those two lines will play out.
And yes, on the volume up in the fourth quarter, you're thinking about it the right way. We do have some inventory replenishment that will happen in the fourth quarter, we saw that in the third, we'll see some more of that or that continue into the fourth. We're also lapping some elasticity after the price increase last year. And then, this continued strong share gains. Those three things are part of driving that fourth quarter volume.",,,,,,,,,
David Driscoll,Michele Buck,"Michele, a bigger picture question. Hershey took pricing in most of the portfolio outside of seasonal candies in 2018 and then in 2019. Given the negative impacts to Halloween for the entire category, would you agree that now is probably not the time for seasonal price increase actions, maybe this gets delayed to 2022 or sometime later, until we get a normal consumer environment? Essentially, I'm just asking you to assess your ability to pass through cost increases through pricing actions. It's a weird environment and I don't know how it's altered that calculus. Thank you.","Yeah. So obviously, I can't speak to any specifics about our specific -- any upcoming specific pricing actions. What I can say is there has been no change to our pricing strategy of smaller more frequent increases. And that doesn't necessarily mean we're going to have the same amount of pricing every year or that we would always announce pricing at the same time. We did, for example, actually have a small price increase this past year on our foodservice business in the third quarter.
So if we look over time, we have been able to price at various times at various economic conditions. So what's important to us is we do think pricing is an important part of our algorithm. But as we've talked about before, we really want to grow through balanced growth across levers, distribution, velocity, innovation, price, etc.
So we know that that that is certainly the one piece of the portfolio that we have not yet priced and I think it's fair to say that given that we haven't announced a price increase at this moment in time, the magnitude of pricing in '21 would be less than we've seen in prior years, at least at this point.
We've been pleased that we've seen conversion to be pretty good this year, even in a very difficult economic environment and I think that continues to demonstrate what we've seen over the years, which is -- the category is very resilient, our brands are strong, we continue to invest into our brands and that does allow us for an even greater amount of pricing power.",,,,,,,,,
Steve Powers,Michele Buck,"Yes, hey, thanks. Good morning. I guess, building somewhat on earlier questions, I'd love a little bit more color around your general mind-set heading into '21, as you work through your planning process. Clearly there are parts of your business that have been under pressure this year international, movie theaters, vending specialty, etc. and hopefully all those set up for at least directional recovery in the year ahead.
But at the same time, you've been gaining a lot of share, you've had great success in at-home categories like baking and with initiatives like S'mores, all of which is fantastic momentum, but again could set up for difficult year-over-year comparisons.
So as you size it altogether, I guess is there a way to frame your thinking at a summary level, to what degree those various puts and takes sort of just net each other out in your mind or are you approaching '21 planning, thinking we've got either a net easier or net harder set up versus what one might consider typical? Thanks.","Yeah. So we're pleased with the momentum that we are seeing and I would say your call-outs in what you shared about some of the ups and downs in the business I think are very accurate. We believe we're seeing that our category and our brands really resonate with consumers and especially at a time like this, where they're looking for some of those moments of goodness, moments of happiness. We're really pleased with how we've been able to pivot with the consumer and also pivot with our capabilities to be able to execute within this environment.
And we feel good about that momentum and our ability to continue pivoting. So this year, obviously it was consumer shifted to take home and so we dialed up S'mores and we dialed up Twizzlers and we dialed up baking and we leaned into create the season to make sure that we could capture that opportunity, giving consumers new ways to participate in Halloween that frankly we believe those things like candy slides and candy graveyards and all the creative things people did will probably become a part of their ongoing traditions and they have just evolved.
As I mentioned, we were able to dial-in and accelerate e-commerce. And I think as we look to next year, we are prepared if the consumer pivots, yet again, to be able to pivot with them. I think we've built and we've demonstrated an ability to execute well during this environment and also to pivot from an executional perspective, whether it's at retail or in our manufacturing facility.
So we're very focused on that. We've captured as well some cultural positive effects, I think capabilities we've built in terms of operating in this environment that perhaps allow us to make decisions more quickly and we think that is an enabler for us going forward. So we feel -- we feel good about that, as we look to the future.",,,,,,,,,
Steve Powers,Michele Buck,"Thanks for that Michele. I don't know if you want to take this one or Steve, but just as a follow-up sort of unrelated, just any comments you might have on just current levels of promotion, the promotional environment and what you expect to see there of the balance of 4Q and into '21? Thanks.","Yeah, we don't see any significant change relative to promotional activity. We didn't really see it this year, we didn't execute anything significantly differently and nor do we expect to see anything in the future.",,,,,,,,,
Nik Modi,Michele Buck,"Yeah. Good morning everyone. So Michele, I was hoping you could provide some context on the partnership with Google that you used during the Halloween period. And do you believe this capability can be leveraged for this Holiday season, but also kind of in your everyday business, as you kind of look forward?","You know, we are continuing to leverage different types of data and analytic and insights more and more across the business and we continue to really try and stay on top of tracking consumer sentiment and leveraging data and analytics to tailor copy, to tailor messaging, to tailor media. So more and more, we are operating in a more sophisticated level, relative to using multiple data sources and also using that to reach consumers at the right places with the right message at the right time.",,,,,,,,,
Nik Modi,Michele Buck,"And I guess what I'm trying to get at is, is this kind of new way of kind of targeting consumers like the return that you see from what you've done like -- can you just give us any kind of understanding, because one thing I'm noticing across the entire CPG landscape is companies are spending more money, but they're spending more money on the same message and in fact new consumers are being recruited, usage occasions are changing, and so it really requires a change in how you talk to those consumers. And so, I find this Google partnership incredibly compelling for you guys. So, I'm just trying to get better context on how it's changing the return profile of your spend? If you can provide any context on that.","So, we have a continuous focus on optimizing media and the returns on our media. We always have, we've had strong media ROIs forever and our challenge is, how do we keep making them better and then we continuously optimize based on that. So right now, it's a big spend area for us. So it's an area we're very focused on elevating and it is about making sure right now, I would say some of the biggest opportunity is that opportunity of even more precise targeting and then once you have that target, the ability to alter the message.
So -- and then we alter our media mix accordingly. And I would say we see significant movement in that mix on a year-to-year basis, as we get better at that. I think we've raised some of the opportunities of how we've gone just very deep relative to specific seasons, whether it's S'mores by zip code or whether it's specific holidays and looking at sell-through at a store level basis to be able to dial-up media on a zip code level basis. So you'll continue to see more of that, frankly that's just becoming a way of how we operate now.",,,,,,,,,
Nik Modi,Michele Buck,"Great. And last question, just from an innovation standpoint, can you just provide any context on kind of what's remaining in terms of innovation this year and how things are going to work in 2021, if there is any clarity you can provide on the launch timing?","Yeah. So we feel very good about our innovation, some of the innovations that we are excited about that are new to the market, includes the Reese pretzel product, a Reese cup with pretzels in it. We've had a range of Kit-Kat flavors. We know on a global basis, a big part of the Kit-Kat portfolio are flavors, they tend to do quite well. We are, on a very small level launching Snack Cakes under our Reese's trademark, which delivers that Reese experience in a slightly different type of product form and we feel good on that versus basis some of the early test results.
And we will have more coming, some items on our take-home side of our business that won't get announced till early next year, which is typically the time we announce those things just given resent windows. No major change in our innovation strategy. We think it's working very well for us. We think it's right sized and we think it's delivering much more sustainable results.",,,,,,,,,
Michael Lavery,Michele Buck,"You've talked about the increase in e-commerce sales, even if it might have decelerated a little bit, but it's up very strongly. You've said in the past that baskets and dollar ring are higher online, is that still holding true with the growth that you're seeing now. And on the margin side, you've mentioned that there is a small gap, but that is that you were narrowing it and the scale would help that -- is that coming along the way that you would have expected. How does that look now?","Yeah. I mean we've generally seen larger basket sizes in general across most channels of this year, as people are doing fewer trips and more quantity per trip. So I think that's been somewhat of just an underlying dynamic given the pandemic impact in the marketplace.
For us, on our e-commerce business, we've seen very significant growth across the board, but particularly in click-and-collect, where people actually go and pick up their groceries. And also in the local delivery models as well as versus kind of national delivery. The margins that we have are similar to what we see in bricks-and-mortar.",,,,,,,,,
Michael Lavery,Steve Voskuil ,"You've talked about the increase in e-commerce sales, even if it might have decelerated a little bit, but it's up very strongly. You've said in the past that baskets and dollar ring are higher online, is that still holding true with the growth that you're seeing now. And on the margin side, you've mentioned that there is a small gap, but that is that you were narrowing it and the scale would help that -- is that coming along the way that you would have expected. How does that look now?","Yeah. I want to say is that we said in the past that overall e-commerce margins are a little bit dilutive and it's there -- as Michele just said, in click-and-collect and local delivery, very similar, not much impact in that, probably two-thirds of our e-commerce business, the piece that is more dilutive is the shift to home and in particular cold shift, and that's an area where we continue to work with our customers and look at our overall investment with those customers and joint business planning to drive efficiencies over time so that those margins align.",,,,,,,,,
Michael Lavery,Michele Buck,"Okay, thanks. And I just want to follow-up on S'mores, I thought that your data analysis and insight there to push that the way that you did was interesting. As you're seeing cases rise again now, are you replicating that, are you seeing similar results, is there a S'mores surge we should expect and would it be right to assume that those Hershey milk chocolate bars are probably some of the highest margin ones that you have?","So, we have really expanded S'mores from, at one point, it was a very focused time of year to really capturing S'mores as a year around opportunity, especially if you think about how different weather is across the entire country. There are lots of opportunities to continue to expand that. So we're very focused on that. We're also very focused on the upcoming baking season, where we know that consumers will be spending time at home, it's already a natural baking season, and so we'll be looking to really optimize what we're able to drive leveraging insights around that season as well.",,,,,,,,,
Bryan Spillane,Steve Voskuil,"Hi, good morning everyone. So just one question for me and I think there was a little bit of a commentary in the prepared remarks about some inflation in cost of goods sold. So maybe Steve, could you just give us kind of a lay of the land right now in terms of what commodity costs and just cost of goods inflation looks like currently in the context of -- seems like freight costs are going up, you've had some competitors talk about, coco prices going up. So just trying to get an understanding of directionally, where inflation is headed right now.","Sure. Yeah, for us, I'd say overall, it's been relatively stable, so on the commodity side, relatively stable. You saw big movements in commodities across Q2 and Q3 and of course, we've talked in the past, we mitigate some of that volatility with our hedging program and I would say today they are fairly stable.
There are increases in freight costs. There too, our teams do a great job of longer-term contracting, which helps to mitigate some of that increase, so that hasn't been a real material impact for us. We have seen some increased warehousing costs and part of that's volume and flow through along with the share gains and the volume increases that we've seen.
So we call that out in the prepared remarks. But in total, sitting at this point, I would say overall COGS is fairly stable and we'll give more guidance on 2021 when we get into the fourth quarter call.",,,,,,,,,
Bryan Spillane ,Steve Voskuil,"But I guess we can infer from that, at least from where we sit today that at stable is something that looks like it kind of carries into next year, unless something changes.","Yeah. I think that's fair. Next year as we get the -- you're going to have the 2020 and 2021 comp -- crops of coca start to bear the leaves [Phonetic], so there is that to consider. And then there's other things obviously on the gross margin side, as Michele said, you know, we'll have a little bit more volume driven than price driven mix, driving gross margin next year, we'll have our continuing productivity goal. And again, a lot more on that to come when we talk on the fourth quarter call.",,,,,,,,,
John Baumgartner,Michele Buck,"Michele, I like to follow up on the Reese's Snack Cake. You mentioned that it's small right now, but Hershey went down this path about 15 years ago, and it didn't really translate into anything material. So I'm curious what the data tells you in terms of changes to the landscape now. Does this maybe mark a new phase over the snack section evolution and I guess where do you think it slots in? I mean does it compete against the Twinkie, the cookies? Just where is the target market? Any big picture of thoughts would be appreciated.","Yeah, absolutely. So I think we've approached this in a very thoughtful and measured way, which was not a mass launch, where we just threw it out there and try to make it as big as we possibly could at one point in time. But we did a very targeted in-market launch for an extended period of time, so that we could really learn about the proposition.
We spent a lot of time in terms of developing the product to make sure that we really understood some of the drivers of liking in the snack cake area and we also really thought about where and how we wanted to play and launch. So this, for example, is very C-store focused.
It is a single serve type of item, so we're keeping it as a focused launch. It is definitely bringing the great chocolate and peanut butter taste profile that we have on Reese's to the snack cake market. So yes, it is playing in that snack cake area versus other snack cake brands.
We know that we had participated in this category for many years through licensing and we learned through that that our brands could participate and extend to the category. We also know that morning snacking has been a growing trend and our confection item skew more to afternoon and evening.
So this is a chance for us to participate in some of that growth, because that is where these snack cakes get utilized. So again, we're going to have a very focused rollout and we'll put it in locations, where we think we can garner incremental space and where we think there is a strong consumer fit and starting at C-store and looking at other select areas and then if it continues to perform well, we will expand. But we will watch it closely and take a measured approach.",,,,,,,,,
Alexia Howard,Michele Buck,"Hi there, can I just talk about the C-store channel specifically. It's obviously been under pressure because of the pandemic, but I imagine that there have been some sequential improvement in there. Could you maybe just give us some numbers about how that channel is recovering?","Absolutely. So as you said, we've continued to see strength in food and mass in dollar as consumers eat more at home. The C-store class did see a bit of recovery in the third quarter, so we saw the business grow in the low-single-digits in the third quarter, which is definitely an improvement versus those early pandemic trends.
It did then slow a little bit, as summer ended and those summer road trips decreased with kids going back to school. Our business has tracked pretty much in line with the channel and significantly ahead of the category. So we have share gains of about 120 basis points in Q3 in that channel. So, seeing some rebounds and some recovery versus where it was in the past, as people are out about a little bit more than they were.",,,,,,,,,
Alexia Howard,Steve Voskuil,"Great. And then as a follow-up -- follow-up actually on Bryan Spillane's question about freight costs. I remember back in 2018, as freight cost spiked back then, that provided a bit of a headwind for you. It's seems as though it's not so much of a problem this time around. Are you able to tell us roughly what proportion of COGS freights actually represent and how much of that has already contracted out and what you've learned since 2018 to make the situation this time around a bit more manageable. Thank you","Sure. So yeah freight cost right now, we don't see as a material impact. If it continues to rise, it will have a bigger impact right now, again, because we're contracted and our teams do a great job of managing those contracts. It's not having as material of an impact. It's roughly 10% of COGS overall and so it's not immaterial, but right now, not seeing enough movement there given the contracting to really drive a material impact on overall COGS.",,,,,,,,,
Jonathan Feeney,Michele Buck,"Good morning. Thanks very much and thanks for a great Halloween, personally and professionally. The leanest of my financial ambition has been to give out full-size candy bars, which I was again able to execute. So, thank you. Two quick ones. I noticed in the data you're pricing in North America is plus 1.9 on the takeaway, plus 3.3 is what you reported. Is that just the math or is there some shrinking or different mix within retailer margins there is my first question.
And secondly, historically, when you look at -- today's velocity is generally tomorrow's distribution and your velocity has been fantastic. This is a weird year, a lot of people's velocity is fantastic. But do you anticipate gaining shelf space in that every day place -- you look at these baking items, you look at these take-home items, like this is phenomenally better velocity forget about just the total sales that you're seeing there. Do you anticipate significant share gains, perhaps structural ones -- I'm talking share of shelf here, as retailers do resets for Holiday and going forward? Thank you.","Sure. So, two parts to your question, the first was around price and some of the discrepancy. And yes, there is a mix impact. Honestly, it might be best if Melissa goes and takes you through a deep dive on that, because there is some complexity associated with it. But the P&L is definitely accurate. As it relates to velocity, yeah, good velocity, I like your phrase today's velocity is tomorrow's distribution, I do think that's a very accurate.
As we look at the season, you asked about Holiday, we certainly have been able to garner incremental distribution, incremental SKUs throughout the year, both in terms of every day and seasons, because we've been able to deliver and the items that we then put on shelf not only could we supply them, but then they moved. So we do feel good about that.
We'll continue to take a very disciplined approach and be very careful that we don't over skew, so we really have to look at the productivity of every SKU and as long as it's good, we will be there. But yes, we have been able to gain some distribution. And going forward, I anticipate that we will continue to be able [Phonetic] to perhaps even through the first part of next year.
",,,,,,,,,
Ken Zaslow,Michele Buck,"I just have one quick question. Everything has been asked and answered. You made a reference in the prepared remarks about Pirate's Booty is tracking ahead of your strategic plans. Can you talk about what are the key learnings that you've developed through your years as the CEO that has really helped you kind of make this a better acquisition and implemented, what are your key learnings and what do you take forward to future learnings -- the future acquisitions?","Well, so I think a lot of learnings along the way. I guess I would start with, there is a business model for brands that that we as a company are best with and that is branded items, where brand matters, where the business has significant scale probably close to that $100 million mark and it needs to be a business that has a high gross margin, because that's what our business model is. We're a branded company, we invest a lot in marketing and we have high margins that enable us to kind of invest and grow, invest and grow. And we -- that's our model. That's what we need. So I think that was one of the biggest learnings was to help us select the asset.
I think secondly, really understanding the strength of the brand and really being able to do the right deep dives on which KPIs, we think predict the ability for a brand to scale.
And then, I would say really trying to scale the business well and I would say, hey, we've learned lessons the whole way along the way, as you know in the past, we bought some businesses that were too small, we bought some businesses that had lower margins and we had some that we perhaps didn't execute on the scaling as well and I think we've done a very focused effort on the scaling as well and we've gotten much better at that, relative to supply chain, relative to the talent that we need, when we buy a company like this, where we want to keep the entrepreneurial spirit, we want to keep people who know the brand and the business.
But we also have to be focused on the point that we're also at a point where we want to scale the business. So I mean, I go back to the scale, the branded nature, the high margin are probably the biggest ones and then picking the right underlying KPIs that say it's a sustainable business, because if we can do that, we can make it home.
",,,,,,,,,
