COMPANYNAME,QUARTER,YEAR,QUESTION,ANSWER,CLEAR,ASSERTIVE,CAUTIOUS,OPTIMISTIC,SPECIFIC,RELEVANT
KLAC,Q4,2014," And then I guess, just a big-picture question for Rick. Rick, I've been covering KLA for like 16 years and KLA never used to miss on any number. They never used to miss guidance, very predictable results, operate with a lot of backlog. And now every quarter it seems like we're guiding below or margins are whipping around a lot, yet you still have about the same amount of backlog that you've always had. So I was just wondering if you can sort of wax poetic a little bit about maybe what's different about the company today because it seems like it's becoming a lot less predictable and a lot less operating with a lot of backlog as it used to, and I'm just not sure why?"," Yes, great question. I think -- 2 thoughts, and I'll let Bren weigh in on part of this answer. It's interesting if you look back in the last 4 or 5 years. The predictability year-on-year has actually never been higher. Our ability, when we go back and look at our plans for our calendar year, our internal plans, fiscal year-on-year, it's actually pretty close to what happened. The volatility has dramatically increased on a quarter-by-quarter basis, however. And I think it speaks a little bit to what's going on in terms of fewer customers, fewer units, larger ASPs. And the backlog is partly affected by our customers not needing to take things early or not wanting to take things early but not wanting to have them late. So they want all the equipment to come in at the same time kind of to Bren's comment earlier, when they're looking at a ramp, they want to front-load it with process control. But when something moves out as it did in the September quarter, the guys that want to move in, did -- it's not a plug-and-play in terms of being able to fill in that revenue. So I think the backlog is still very solid, it's just not as fungible in terms of short term as it was. Bren, if you want to add anything to that.",2.0,1.0,2,1.0,2.0,2.0
KLAC,Q4,2014," And then I guess, just a big-picture question for Rick. Rick, I've been covering KLA for like 16 years and KLA never used to miss on any number. They never used to miss guidance, very predictable results, operate with a lot of backlog. And now every quarter it seems like we're guiding below or margins are whipping around a lot, yet you still have about the same amount of backlog that you've always had. So I was just wondering if you can sort of wax poetic a little bit about maybe what's different about the company today because it seems like it's becoming a lot less predictable and a lot less operating with a lot of backlog as it used to, and I'm just not sure why?","So Tim, I think over the last 3 or 4 years, we've seen shipment backlog actually come in a fair amount. It used to be consistently around 6 months. And over the last few years, it's come down between 4 and 5. There is a bit of a pop in June but it's related to some long lead-time business that we booked. I think that's a little bit of an anomaly compared to what we've seen where we're generally booking in one quarter and shipping a fair amount in the next quarter. So that has changed a fair amount. And to Rick's point, it's not necessarily fungible customer-by-customer, and the timing is a factor in terms of when they need the equipment. So as a result of that, we are reacting I think much faster to the bookings number or really the shipment number, I think, in terms of where the P&L is. And so to the extent that there's predictability quarter-on-quarter in shipments, then that enables us, I think, to drive a little bit more predictability in the P&L. But it does react much faster, and in the past, we had more backlog to, I guess, absorb or cushion some of those swings, one direction or the other.
",2.0,1.0,1,1.0,2.0,2.0
HPE,Q4,2017," And then just secondly and separately, you had commented on DRAM prices being up another 5% or 10% this quarter. I am wondering, a) if you can comment on why that doesn’t make you less confident about your ability to hit margin targets and, b) whether you can comment on whether the competitive pricing environment has improved at all? Quite frankly, I was looking for more in terms of sequential margin improvement in the enterprise group, especially giving all the cost-cutting you are doing. And I am wondering if you gave some of that back, because of DRAM and competition?"," Yes, I would say the margin expansion if you look at Q4 the 10.6 was up 130 basis points. So, we were to continue to improve margins primarily driven by the $200 million to $300 million cost actions that we talked about in Q2 of ‘17. What gives us confidence despite DRAM is up another 5% to 10% in Q4. As we look forward into 2018, we still have a lot of tailwinds, right. We talked about it at SAM. So if you look at HPE Next that $250 million of net savings we are on track to do that now. I will say that is roughly two thirds of that is in the back half of the year. So as you think about quarterly splits and margins I would take that into account, but we feel very good about what’s going on there we continue to right size the cost envelopes of the recent acquisitions that we’ve done those will become more, more accretive as we go through 2018. So we have a lot of things that we think will continue to improve margins and we still feel based on what everything you see today, we feel good about 11% or 12%.",2.0,2.0,1,2.0,2.0,2.0
HPE,Q4,2017," And then just secondly and separately, you had commented on DRAM prices being up another 5% or 10% this quarter. I am wondering, a) if you can comment on why that doesn’t make you less confident about your ability to hit margin targets and, b) whether you can comment on whether the competitive pricing environment has improved at all? Quite frankly, I was looking for more in terms of sequential margin improvement in the enterprise group, especially giving all the cost-cutting you are doing. And I am wondering if you gave some of that back, because of DRAM and competition?","The other thing I’d add to that Toni is this strategy to pivot to the value in the growth segments of our portfolio is absolutely critical because, just a mix shift of a couple of percent actually increases the operating margin. And we anticipate that that will happen as we realign the sales force, as we focus marketing on the value and growth segment and we realize the potential of – of the portfolio. I would say the competitive pricing environment is maybe slightly mitigated, but it would be hard for me to gauge that, because it varies by country, it varies by product line and it shifts from month-to-month and quarter-to-quarter. So while I would say overall, there’s been some mitigation in that pricing environment I would not say it is universal and we’re not counting on that for the delivery of our operating margin in 2018. And then DRAM pricing appears to now be leveling out and you talk to people in the industry, it appears that supply is now beginning to match demand there is going to be more supply I think from the key vendors of memory and so we’ll see what happens. We are not counting by the way on to deliver our results on a drop in DRAM pricing, we’re also not counting on another 15%, 20% increase in DRAM pricing, but we feel pretty good about the way where we are and I got a lot of confidence that we are going to hit our $1.15 to $1.20 and the 11% to 12% operating margin.",2.0,2.0,0,2.0,2.0,2.0
KLAC,Q4,2014," Because early on, you said the year or fiscal year is very lumpy, which I understand, customer concentration. But the year has progressed in line with what you were expecting in January. But when I look at your shipment guide, even for December, even if I put in more than $800 million, it would give me calendar year shipment down 3%. So either you're saying or suggesting that WFE is going to decline by more than 5%? Or is that just an anomaly?"," I'll let Bren take the year, but we're looking out at FY '15 press, whereas we're referring to as opposed to calendar '15, which is the next 4 quarters. But again, Bren can address calendar '14.",2.0,1.0,1,1.0,2.0,1.0
RHT,Q3,2013," Charlie, if you could talk about what is happening from a payment standpoint, are customers at the margins, saying that they want to be invoiced for a shorter duration upfront. If it's just a tactical function of what happened to the sequester in the government vertical, if you could you just expand on that. And also, if you saw the change in invoicing happened just in one vertical or was it more broad-based? And I also wanted to clarify that your guidance is on a reported basis looking out and not on a constant currency basis?"," Okay, thanks, Kash. So I think a number of people may have questions about the backlog. And so just to clarify again the basics. When we get a booking, if we bill it, it goes into the deferred revenue. If it's going to target revenue within 12 months, it's current deferred revenue. If it's longer than 12 months and it's billed upfront, it's in long-term deferred revenue. If we have a 3-year deal that bills 1 year at a time and only the first year is billed, then the first year goes in deferred revenue and the balance would go into unbilled backlog. So this unbilled backlog number is important. It's directly connected this quarter to the significant increase in the large deals. As Jim mentioned, we had 3 deals over $10 million, 6 deals over $5 million and a substantial number of deals even beyond the top 30 that were over $1 million. These deals, which are done through the direct sales force, typically are going to have a shorter billing duration. So part of it is that, part of it is the channel mix, deals that are done through the channel are always billed upfront. The second question, Kash, about verticals, there was nothing unusual about the vertical mix in terms of payment terms. There was also nothing unusual about payment terms in smaller deals. It was all focused on really good news in some big deals. And the third part of your question about guidance for next year and foreign exchange, I'm guiding -- my guidance is based upon the foreign exchange rates that I've given as an assumption, which was $1.29 for the euro, which is unchanged year-to-year, and JPY 94 for the yen, which is a 15% weakening of the yen year-to-year. And those are just the 2 major currencies, we do business in probably more than 20 or more currencies. So there's a lot of other currencies in the mix, but those are the 2 major ones.",2.0,2.0,2,2.0,2.0,2.0
LAKE,Q2,2016," Congratulations to all, everybody at Lakeland, it’s an absolute beautiful report. Could you talk some about your – the organic growth plan that you have for the emergency situations?"," Well, the organic is really, apart from the emergency what we’ve done is, we’ve set up a special system to be able to respond to emergency situation and it’s an inventory system that works with the end-user clients and/or the distributors. And it’s something that we might actually even patent, as a utility patent. But what we’re doing is, we’re setting up a, to be ready to respond to emergency situations with special inventory payment plans for customers, and that’s that one situation. The other part of the platform is the fact that we make the garments ourselves. We don’t contract it out like the rest of the guys do. And therefore, we make the better garment we believe. Organic growth is what I really wanted to get into, because this has been a – we never saw a lot of emergency situation business, we just didn’t. So most of the growth you saw from us was organic growth. And what I’m saying is that is still continuing. Over the years, I’ve told people that we lost about $80 million worth of DuPont type product sales between 2006 and 2010, but we replaced them all. I mean, we were losing $10 million dollars a year of DuPont Tyvek sales, because DuPont was in competition with us. And we replaced those $10 million of sales or almost $80 million of sales between 2006 and today. So if you look at the compound annual growth rate of what I would call our organic sales, okay, it was 17% a year. And now that we’re out, we’re no longer selling DuPont products, that we no longer have that millstone around all our neck called Brazil where we lost $34 million inside of three years, now people will begin to see both the internal or the organic growth at double-digits and they’ll see the emergency stuff and they’ll see more of it, because we are now the go-to manufacturer.",2.0,2.0,1,1.0,2.0,2.0
MPC,Q3,2017," First question is just on capital allocation. We've actually seen some additional C-store assets coming to market recently of decent size, I'm wondering is M&A something you would consider at this point, particularly on the retail side? And operationally, with where you're at, with the Hess integration and things like that, is this something that you'd think about?"," Yes, Phil. This is Gary. We of course think about it and we will do our homework on such opportunities. We've looked at some in the past until we've completed our thorough review of Speedway, we really were not going to act on anything, but it – retail, Midstream continues to be a very strong focus in our path going forward.",2.0,2.0,1,2.0,0.0,2.0
NVDA,Q2,2017," Good afternoon, and solid job on the quarterly execution. You guys had really good growth in Professional Visualization and record revenues. I would've thought that most of the growth was being driven by the upcoming release of the Pascal-based P5000 and P6000 family. So I was sort of pleasantly surprised that most of the demand was driven by your current generation M6000 family, which means obviously that the Pascal demand cycle is kind of still ahead of you. Number one, is that a fair view? And then what's driving the strong adoption of M6000? And if you haven't already released it, when do you expect to launch the Pascal-based P5000 and P6000 family? Thank you."," Yeah. Thanks, Harlan. I appreciate the question. The team has been working really hard over the years to really change the way that computer-aided design is done. Your observation is absolutely right, and it's coming from several different places. First of all, more and more design is really about product design, industrial design, where the feeling of the product, the aesthetics of the product is just as important as the mechanical design of the product. And whether you're talking about a building, or just a consumer product, or a car, we need to be able to simulate the aesthetics of it in a photorealistic way using real material simulations. The computational load necessary to do that is just really quite extraordinary. And we're now seeing one design package after another, whether it's Dassault's leading packages, SolidWorks leading packages, Autodesk, Adobe, the amount of GPU use has really, really increased, and it's increasing quite dramatically. I think partly because finally, for all of the ISVs, for all the developers, not only is the market demand for earlier views of photorealistic designs an important decision criteria, they can also rely on the fact that great GPUs are available in just about every computer. And so the pervasiveness of GPUs allows them to take advantage of the GPUs and to really trust that the software capabilities that they've put into their packages, if they rely on GPUs, will have the benefits of GPUs there. And so I think that, that virtuous cycle you're starting to see in design. And so the investment that we made in the photorealistic rendering several years ago, the GPU acceleration of optics, this layer for path-tracing that is used by just about every software package in the world, our continued evangelism of GPUs and its general purpose use from computer graphics all the way to imaging, is something that I think is starting to see benefits. That's number one. Number two, Maxwell was the most energy-efficient GPU ever made until Pascal. Maxwell was twice the energy efficiency of Kepler. And the amazing thing is that Pascal is twice the energy efficiency of Maxwell. But Maxwell made it possible for thin and light designs and laptops, and more elegant workstations, and the ability to put more horsepower, more capability into any workstation because of power concerns. Maxwell made it possible for the entire industry to uplift the level of GPU that it uses. And I think that going forward, your last question is, going forward, how do we see Pascal? Pascal is in the process of ramping into workstations all over the world, and so I think in the coming quarters we're going to expect to see Pascal out there. And my expectation is that the dynamics I just described, which is software developers using more photorealistic capabilities, our invention of GPU-accelerated photorendering, Iray and OptiX, and MDL, Material Description Language, and then lastly the energy efficiency of GPUs, those three factors combined is going to be really healthy for workstations. And then last, VR. VR is coming, and in order to really enjoy the type of applications for design, you're going to need a pretty powerful GPU to support it.",2.0,2.0,2,2.0,2.0,2.0
HY,Q4,2017," Good morning everybody. I have got to get a little bit of nitpicking on my questions here to start off real quick unfortunately. First I want to ask about the income from the affiliates line, you had additional 19 -- I think it was $19.8 million of income there, and see how you adjusted it in your press release out of EPS, which makes sense. But it seems to have not been adjusting out of adjusted EBITDA, so your EBITDA was almost $20 million higher than it probably would have been, without that onetime item. Is that correct? And is there any reason why you didn't want to adjust it out, it's a 35% plus of your EBITDA for the quarter?"," Yeah Mike, you are absolutely correct. The $19 million is the improved equity earnings in our JV, our finance JV in the U.S. We tried to stick to us a very strict interpretation of how you calculate EBITDA. So only the interest, taxes, depreciation and amortization on our financial statement were the items we called out. In your analysis, if you would pull that out, that would be your version of EBITDA, as there is no standard EBITDA out there. But you are absolutely right.",2.0,0.0,1,1.0,0.0,2.0
HY,Q4,2017," Good morning everybody. I have got to get a little bit of nitpicking on my questions here to start off real quick unfortunately. First I want to ask about the income from the affiliates line, you had additional 19 -- I think it was $19.8 million of income there, and see how you adjusted it in your press release out of EPS, which makes sense. But it seems to have not been adjusting out of adjusted EBITDA, so your EBITDA was almost $20 million higher than it probably would have been, without that onetime item. Is that correct? And is there any reason why you didn't want to adjust it out, it's a 35% plus of your EBITDA for the quarter?","Actually, we did include it.",1.0,0.0,1,1.0,0.0,1.0
HY,Q4,2017," Good morning everybody. I have got to get a little bit of nitpicking on my questions here to start off real quick unfortunately. First I want to ask about the income from the affiliates line, you had additional 19 -- I think it was $19.8 million of income there, and see how you adjusted it in your press release out of EPS, which makes sense. But it seems to have not been adjusting out of adjusted EBITDA, so your EBITDA was almost $20 million higher than it probably would have been, without that onetime item. Is that correct? And is there any reason why you didn't want to adjust it out, it's a 35% plus of your EBITDA for the quarter?","And in kind of the flipside of that, Mike, we also didn't exclude the impairment charge from Nuvera in the EBITDA calculation. So something that doesn't fit that definition, we don't kind of create an adjusted EBITDA number for.
",1.0,0.0,1,1.0,0.0,1.0
HY,Q4,2017," Good morning everybody. I have got to get a little bit of nitpicking on my questions here to start off real quick unfortunately. First I want to ask about the income from the affiliates line, you had additional 19 -- I think it was $19.8 million of income there, and see how you adjusted it in your press release out of EPS, which makes sense. But it seems to have not been adjusting out of adjusted EBITDA, so your EBITDA was almost $20 million higher than it probably would have been, without that onetime item. Is that correct? And is there any reason why you didn't want to adjust it out, it's a 35% plus of your EBITDA for the quarter?","It would be not unreasonable to think about that onetime increment as the adjustment of the nature that you suggest. But the way the accounting works, it doesn't qualify in GAAP accounting in the year as Ken mentioned.
",1.0,0.0,1,1.0,1.0,1.0
MPC,Q3,2017," Good morning, all. I'll start with another macro question. Just thinking about Brent, WTI at this point, it looks like at least in the Midwest you guys are planning to run a lot more WTI in the fourth quarter. Any thoughts around sort of the sustainability of these $5, $6 spreads going forward and maybe are we at the limit of what you guys can run in terms of WTI in the system?"," Yeah, Brad, this is Mike Palmer. With the Brent and WTI spread now in this $5.50 to kind of $6 area, certainly that has encouraged a lot of U.S. exports to take place, as I'm sure you know. We expect that we'll continue to see a positive Brent TI spread going forward. But with all the exports taking place, I guess I would believe that we'll start to see that spread come in over the next months. When the spread is wide like it is, what we want to do is, we want to be in a position where we can take in as much of the WTI-based crude as we possibly can, and that's what we do in our optimization process. So, we're trying to capitalize on all of the WTI-priced crude that we possibly can in the system today. And as we move forward in the future and we get our Ozark expansion completed, that'll open up a considerable amount of additional optionality that we don't have today.",2.0,2.0,1,1.0,2.0,2.0
HAS,Q1,2021," Good morning. Thank you. I have two questions. I promise to be quick.
First, you mentioned that retail inventory is down in most markets. Where was it up, and by how much and why? And then I have a follow-up, please."," Sure. Retail inventory is up a little bit with our Wizards business, and it's up a little bit in our games business. But these are very, very small increases. I would say, overall, inventory is either kind of in line with a year ago or slightly below.
And it's just where we have increasing demand and sales.",2.0,2.0,1,1.0,0.0,2.0
HAS,Q1,2021," Got it. 8% to 9%, got it. That's very helpful. And then along the same lines, I think your cost of sales, excluding production cost amortization, saw about 220 basis points of deleverage in the first quarter.
Do you expect that to continue for the rest of the year or should it be lower given you have announced price increases to your clients -- consumers?"," Yes. So we did see that impact, you're correct, in the first quarter. And today, we've been able to mitigate and absorb the increases that you're seeing in freight there as well as the product costs, but they have become more pronounced. But in addition to our efforts, we do have to increase prices.
In fact, in the second half of the year to help mitigate those rising costs. So as of right now, with blending all of that together, we do expect that we should be able to mitigate those increases at present.",2.0,2.0,1,1.0,2.0,2.0
NTCT,Q4,2017," Got it. Actually that ties in well with my follow-up, which is just in terms of the software-only deals, how does kind of the amount of spend you're getting from these customers compare with what they might have traditionally? Or are these really targeted more so at kind of new potential accounts that you haven't touched previously?"," I think there are three numbers – this is a very common question people are asking, what it could have been and nobody knows what it could have been. I think clearly, if they were to buy the same amount of product from us four years ago at the height of LTE spending, the numbers will be significantly larger. But the reality is, we didn't have a software solution, we will not get what we are getting. So, I think this is a short-term disruption, I call it short-term pain, long-term gain, it's a blessing in disguise because ultimately it'll promote one of the best solution in the industry, which is ours to be more progressive in the enterprise and service providers. Even the software solution could eventually be used in the enterprise also. And this will allow us to deliver more value at a reasonable price to the customer. So, that's how I look at it. I think if you compare apples-to-apples, yes, it's significantly lower price for the same amount of product or same amount of coverage versus three years ago, but that's not the right metrics. It is the metrics, what would happen if we didn't have a software solution. And I think the situation will be really bad and will be affecting both gross margin, top line and operating margins. Now we are able to improve gross margin, operating margin, keep the revenue line intact and then grow from that base moving forward.",2.0,1.0,1,1.0,2.0,2.0
KLAC,Q4,2014," Got it. All right. And then just a 2-part question for Bren. On the December quarter shipments over $800 million, can you talk a little bit about what it is in the composition of the review between foundry and memory and other guys? And also did you give the June quarter order breakdown by geography?"," I think the breakdown of the geography is on the web, in our supplemental information. So you can get it there. And it's -- we talked about it at SEMICON West, so it's probably not at all different from there as we finalized the quarter. I don't want to get into the mix of the shipments. We don't typically look at it that way and it all lines up based on when customer request dates are and that's how we end up driving the shipments. So I -- we think a lot about order -- incoming orders from a customer segment perspective. But to our operational guys, it's all about shipping the tool, not necessarily where it's going.",1.0,1.0,1,1.0,1.0,1.0
KLAC,Q4,2014," Got it. And on the second half order outlook, you said that memory would be up half-over-half. Do you think that's weighted more toward DRAM or NAND?"," I think in September, right now it looks like it's -- NAND is a higher percentage. We're -- right now, for September, we're forecasting memory overall to be about 27% of the mix or so, 27%, 28%. And NAND will be the bulk of that. I think there is -- but there is investment in both areas. And so -- I just don't have the detail on December but that outlook is for September right now.",2.0,1.0,1,1.0,2.0,2.0
KLAC,Q4,2014," Got it. And then my second question is on gross margins, the gross margin guidance for September quarter. If I think about the gross margins, your gross margins at that level were only way back in 2009. So I just wanted to understand like going forward after the September quarter, how should we think about gross margin? Is there some sort of a decline that has happened going forward or is it just a onetime issue?"," Well, I think as I mentioned, I think how we're sized relative to the revenue levels is a factor certainly in that -- in September. I think going forward, over the long run, you always have some volatility in terms of the mix of products that we end up revenue-ing, and that has some impact on gross margin. I don't see anything fundamentally different or structural in the overall business in terms of gross margin performance. And I think you ought to continue to see us, over broad periods of time, perform fairly consistently with the gross margin model that we cited many times at 60% to 70% incremental gross margin on revenue growth. So I think given where we're starting from here, I think if mix holds the way I think it is today and obviously, that moves around a little bit, I think we'd probably end up performing towards the higher end of that range early on. But we'll have to see how it plays out. But nothing, as I said, that's sort of structural that, over broader periods of time, that would indicate that there's anything different than what we've seen in the past.",2.0,2.0,1,1.0,2.0,2.0
KLAC,Q4,2014," Got it. And then my second question is on gross margins, the gross margin guidance for September quarter. If I think about the gross margins, your gross margins at that level were only way back in 2009. So I just wanted to understand like going forward after the September quarter, how should we think about gross margin? Is there some sort of a decline that has happened going forward or is it just a onetime issue?","And this is Rick. To that point, if you look at the order book for the June quarter and you would analyze the expected margin, once those tools revenue-ed, then it's very consistent with what we've seen historically.",2.0,1.0,1,1.0,1.0,1.0
HPE,Q4,2017," Got it. Okay, well, I guess given his very prevalent stage time, is it fair to say that internally the strategy of HP is what we heard from you, Meg at the Investor Day or sometimes with the leadership change they say hey, we have the HPE Next program analysis and HPE Next 2 program or something like that? And the question for Tim is on financial services that went up a lot and can you help us understand about that? I think it was up over 20% year-over-year. Yet you talked about volumes relatively consistent – are you offering more advantageous terms or how do we connect the dots of what’s going on there with that financial services?"," Yes, let me answer the strategy question. So, the strategy will remain entirely consistent. It was crafted by Antonio and I. he has been leading HPE Next. So, I don’t think he is going to lead another one in terms of reinventing that. And we are completely aligned on the strategy. As is the sales team, as is the entire organization and by the way it’s working, you can see it working in the field. So, you can expect entirely consistent strategy from Antonio.",2.0,2.0,1,1.0,0.0,2.0
